dataset,experiment,descripcion_experimento,scaler,use_pca,n_components_pca,rebalanceo,rebalanceo_short,model,model_display_name,n,param_id,params,param_C,B_accuracy_mean,B_accuracy_std,B_accuracy_var,B_precision_weighted_mean,B_precision_weighted_std,B_precision_weighted_var,B_recall_weighted_mean,B_recall_weighted_std,B_recall_weighted_var,B_f1_weighted_mean,B_f1_weighted_std,B_f1_weighted_var,B_precision_macro_mean,B_precision_macro_std,B_precision_macro_var,B_recall_macro_mean,B_recall_macro_std,B_recall_macro_var,B_f1_macro_mean,B_f1_macro_std,B_f1_macro_var,B_fpr_weighted_mean,B_fpr_weighted_std,B_fpr_weighted_var,B_fnr_weighted_mean,B_fnr_weighted_std,B_fnr_weighted_var,B_fpr_macro_mean,B_fpr_macro_std,B_fpr_macro_var,B_fnr_macro_mean,B_fnr_macro_std,B_fnr_macro_var,B_mcc_mean,B_mcc_std,B_mcc_var,B_roc_auc_mean,B_roc_auc_std,B_roc_auc_var,B_detection_latency_seconds_mean,B_detection_latency_seconds_std,B_detection_latency_seconds_var,B_fit_time_mean,B_fit_time_std,B_fit_time_var,B_score_time_mean,B_score_time_std,B_score_time_var
CIC17,C__RobustScaler_no_pca_NM_SMOTE_ENN_logreg,RobustScaler + sin PCA + NearMiss_SMOTE_ENN + logreg,RobustScaler,False,,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,logreg,LogisticRegression,10000,1,"{""C"": 0.01}",0.01,0.0054149504621992545,0.00043495010765176795,1.8918159614628452e-07,0.834169955589623,0.0011043380655492412,1.2195625630210403e-06,0.0054149504621992545,0.00043495010765176795,1.8918159614628452e-07,0.0021070066471028685,0.0007272680419150593,5.289188047909644e-07,0.07456643149632351,0.002249790181655278,5.0615558614724875e-06,0.24321909878487072,0.015084985119274582,0.0002275567760487356,0.006724147321511585,0.0014648700632592132,2.145844302233051e-06,0.0020358547821273396,3.291647788823021e-05,1.0834945165663483e-09,0.9945850495378007,0.0004349501076517998,1.8918159614631223e-07,0.06644139362132855,2.7611805808061526e-05,7.624118199821002e-10,0.7567809012151294,0.01508498511927455,0.00022755677604873462,0.006039621754878509,0.0006396879417138696,4.09200662774127e-07,0.5733282037908907,0.003897310192061826,1.5189026733148987e-05,8.038414636951979e-08,4.395004353752407e-09,1.931606326950261e-17,57.74170389175415,0.5605811212390222,0.31425119348959923,0.0324211597442627,0.0017725997296348793,3.142109801501647e-06
CIC17,C__RobustScaler_no_pca_NM_SMOTE_ENN_logreg,RobustScaler + sin PCA + NearMiss_SMOTE_ENN + logreg,RobustScaler,False,,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,logreg,LogisticRegression,10000,2,"{""C"": 0.1}",0.1,0.005345527455407893,0.0005905419976579486,3.487398509978407e-07,0.6680803858637542,0.3724019845452553,0.13868323809324457,0.005345527455407893,0.0005905419976579486,3.487398509978407e-07,0.001911328315086986,0.0008889564399555581,7.902435521384597e-07,0.06166833175455642,0.03119529483214364,0.0009731464196643677,0.24875790817641255,0.01936174509328931,0.00037487717305751273,0.007041145849744077,0.0013924860110312023,1.9390172909175898e-06,0.002039031147721545,0.00016456025821238584,2.70800785829271e-08,0.9946544725445922,0.0005905419976579342,3.487398509978236e-07,0.06644623357948758,2.8975191878973434e-05,8.395617444233281e-10,0.7512420918235876,0.019361745093289303,0.00037487717305751235,0.006060371850330701,0.0005186441825517103,2.6899178809473174e-07,0.5730418936205968,0.0023521117373257825,5.532429624865711e-06,8.858546160388305e-08,4.050951755221527e-09,1.6410210123132372e-17,57.83955669403076,1.1406674799233665,1.3011222997547236,0.035728979110717776,0.0016338559024951774,2.6694851101183305e-06
CIC17,C__RobustScaler_no_pca_NM_SMOTE_ENN_logreg,RobustScaler + sin PCA + NearMiss_SMOTE_ENN + logreg,RobustScaler,False,,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,logreg,LogisticRegression,10000,3,"{""C"": 1}",1.0,0.005588010734619122,0.0005199009799829116,2.702970289871918e-07,0.8344004164716756,0.001278368659253246,1.6342264289609418e-06,0.005588010734619122,0.0005199009799829116,2.702970289871918e-07,0.0023925760067728926,0.0008249824963504248,6.805961192845786e-07,0.07562017019352515,0.002335106478925463,5.452722267919674e-06,0.240378959181905,0.02120722583863375,0.00044974642777081486,0.008270932666491685,0.0010433767319634566,1.0886350048027426e-06,0.002042345975641545,0.00012709498459488727,1.615313510917463e-08,0.9944119892653809,0.0005199009799828968,2.702970289871765e-07,0.06643028901606815,2.645177010816234e-05,6.996961418550708e-10,0.759621040818095,0.02120722583863371,0.00044974642777081324,0.006358114786101962,0.0005214104322378575,2.7186883884646944e-07,0.5713904616256097,0.004258017839287891,1.8130715919693924e-05,8.109421199379601e-08,6.6675529970486315e-09,4.4456262968452187e-17,57.29840421676636,0.8779388935201857,0.770776700755448,0.03270754814147949,0.0026891771381795976,7.231673680507811e-06
CIC17,C__RobustScaler_no_pca_NM_SMOTE_ENN_logreg,RobustScaler + sin PCA + NearMiss_SMOTE_ENN + logreg,RobustScaler,False,,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,logreg,LogisticRegression,10000,4,"{""C"": 10}",10.0,0.005503712139837439,0.0004980474814203513,2.4805129374915525e-07,0.8342478440463903,0.001111350329981848,1.2350995559507623e-06,0.005503712139837439,0.0004980474814203513,2.4805129374915525e-07,0.002271173343408612,0.0007894313625650012,6.232018762012343e-07,0.0750442650203487,0.002324383612749698,5.402759179219339e-06,0.24460756061354702,0.024325992655308094,0.0005917539186661034,0.007524082475623174,0.001562029426830815,2.439935930285404e-06,0.0020756499601967556,5.315424417632327e-05,2.8253736739561966e-09,0.9944962878601625,0.000498047481420357,2.4805129374916086e-07,0.06643812918802396,2.9958357368352196e-05,8.975031762099022e-10,0.7553924393864528,0.02432599265530807,0.0005917539186661022,0.006099632909471825,0.0007041727832598555,4.958593086839314e-07,0.5716944798006897,0.0034506423257699725,1.1906932460395204e-05,7.926679820644187e-08,8.165733510392075e-09,6.667920376274007e-17,57.383229875564574,0.5495017902715287,0.3019522175116151,0.03197050094604492,0.0032934356308029857,1.084671825424266e-05
