dataset,experiment,descripcion_experimento,scaler,use_pca,n_components_pca,rebalanceo,rebalanceo_short,model,model_display_name,n,param_id,params,param_C,B_accuracy_mean,B_accuracy_std,B_accuracy_var,B_precision_weighted_mean,B_precision_weighted_std,B_precision_weighted_var,B_recall_weighted_mean,B_recall_weighted_std,B_recall_weighted_var,B_f1_weighted_mean,B_f1_weighted_std,B_f1_weighted_var,B_precision_macro_mean,B_precision_macro_std,B_precision_macro_var,B_recall_macro_mean,B_recall_macro_std,B_recall_macro_var,B_f1_macro_mean,B_f1_macro_std,B_f1_macro_var,B_fpr_weighted_mean,B_fpr_weighted_std,B_fpr_weighted_var,B_fnr_weighted_mean,B_fnr_weighted_std,B_fnr_weighted_var,B_fpr_macro_mean,B_fpr_macro_std,B_fpr_macro_var,B_fnr_macro_mean,B_fnr_macro_std,B_fnr_macro_var,B_mcc_mean,B_mcc_std,B_mcc_var,B_roc_auc_mean,B_roc_auc_std,B_roc_auc_var,B_detection_latency_seconds_mean,B_detection_latency_seconds_std,B_detection_latency_seconds_var,B_fit_time_mean,B_fit_time_std,B_fit_time_var,B_score_time_mean,B_score_time_std,B_score_time_var
CIC18,C__RobustScaler_no_pca_RUS_SMOTE_logreg,RobustScaler + sin PCA + RUS_SMOTE + logreg,RobustScaler,False,,RUS_SMOTE,RUS_SMOTE,logreg,LogisticRegression,10000,1,"{""C"": 0.01}",0.01,0.08165972324688939,0.027047469039538398,0.0007315655814447881,0.6192806841846794,0.008423934048738828,7.096266485750135e-05,0.08165972324688939,0.0270474690395384,0.0007315655814447884,0.09347897147776775,0.01260621664712569,0.00015891669815426887,0.09112086033104377,0.01263246034639945,0.00015957905440335454,0.2482310924957948,0.015607087908154042,0.0002435811929728481,0.0464364191033565,0.019946218422548883,0.0003978516293600284,0.01979695006751378,0.0019769911391105707,3.908493964121712e-06,0.9183402767531106,0.027047469039538412,0.0007315655814447889,0.06254248178804163,0.0016913048372414483,2.860512052476322e-06,0.7517689075042052,0.015607087908153973,0.00024358119297284597,0.053200544233707,0.03568832148201868,0.0012736562902039155,0.680250399169166,0.0018771281600702932,3.5236101293288845e-06,8.560840312877859e-08,4.161930740521997e-09,1.7321667488901983e-17,54.82858419418335,0.527120991105384,0.2778565392639223,0.047638320922851564,0.0023160093527918595,5.3638993222193674e-06
CIC18,C__RobustScaler_no_pca_RUS_SMOTE_logreg,RobustScaler + sin PCA + RUS_SMOTE + logreg,RobustScaler,False,,RUS_SMOTE,RUS_SMOTE,logreg,LogisticRegression,10000,2,"{""C"": 0.1}",0.1,0.08758278817283209,0.021450038031382113,0.000460104131547739,0.6194012763336674,0.007460501248732047,5.5659078882332426e-05,0.08758278817283209,0.021450038031382113,0.000460104131547739,0.09507599673120594,0.011130243095161354,0.000123882311357387,0.09117267398565879,0.011854432133456888,0.0001405275612067352,0.25819467944548313,0.02328405029725516,0.000542146998245108,0.04802084698299582,0.017517624395546556,0.0003068671644634479,0.019897850303065682,0.001866532034798451,3.4839418369288457e-06,0.9124172118271681,0.02145003803138211,0.0004601041315477389,0.06215433747534891,0.0013317287031552182,1.7735013388074793e-06,0.7418053205545169,0.02328405029725512,0.0005421469982451062,0.06112429833285308,0.027787107969035368,0.0007721233692828288,0.6797404183289593,0.0026239213702139268,6.884963357065331e-06,8.003873084832665e-08,6.290944920231705e-09,3.957598798938909e-17,55.27882876396179,0.7287457206980328,0.5310703254356952,0.04453897476196289,0.0035006794764577136,1.2254756796892252e-05
CIC18,C__RobustScaler_no_pca_RUS_SMOTE_logreg,RobustScaler + sin PCA + RUS_SMOTE + logreg,RobustScaler,False,,RUS_SMOTE,RUS_SMOTE,logreg,LogisticRegression,10000,3,"{""C"": 1}",1.0,0.09261199364447073,0.02443714871893307,0.0005971742375112522,0.6222421857032607,0.008662335231496126,7.503605166281903e-05,0.09261199364447073,0.02443714871893307,0.0005971742375112522,0.09897141480046054,0.01178895793873009,0.0001389795292811472,0.09564888034054185,0.012679705081090287,0.00016077492094342685,0.2530020951437509,0.017289647015096873,0.0002989318939066482,0.054119797725056526,0.01811775463819667,0.00032825303312989697,0.020506819422366616,0.0016738413639597897,2.8017449117027694e-06,0.9073880063555292,0.02443714871893306,0.0005971742375112518,0.06185965505185972,0.0015514007097162884,2.4068441621082033e-06,0.7469979048562491,0.017289647015096898,0.00029893189390664906,0.06735924109445944,0.03282138757143919,0.0010772434821146228,0.6820896141946469,0.0057116809814588086,3.262329963395826e-05,8.205364436890532e-08,6.323507332391121e-09,3.9986744982804266e-17,55.69020948410034,0.3639996516429331,0.13249574639617662,0.045660209655761716,0.003518806568214922,1.2381999664512477e-05
CIC18,C__RobustScaler_no_pca_RUS_SMOTE_logreg,RobustScaler + sin PCA + RUS_SMOTE + logreg,RobustScaler,False,,RUS_SMOTE,RUS_SMOTE,logreg,LogisticRegression,10000,4,"{""C"": 10}",10.0,0.062241872388481,0.018504471230830856,0.0003424154555326468,0.6124115739957373,0.005826499228227038,3.3948093256530266e-05,0.062241872388481,0.018504471230830856,0.00034241545553264675,0.08447782911755848,0.008634750309674982,7.455891291043219e-05,0.08051051441126508,0.009205631399174928,8.474364945747536e-05,0.2428566460237512,0.004115837456105828,1.6940117965083696e-05,0.03145891102672866,0.014152028939251673,0.00020027992309741685,0.018464295589274808,0.001667715904620409,2.7812763385238686e-06,0.937758127611519,0.018504471230830863,0.0003424154555326471,0.0637481615467196,0.0011233867637688178,1.2619978210109775e-06,0.7571433539762488,0.0041158374561058595,1.694011796508395e-05,0.027540201768206873,0.023706912838237656,0.0005620177163197975,0.6807378373999087,0.002927282758862171,8.568984350331722e-06,7.928157066220199e-08,5.674677161947052e-09,3.2201960892323455e-17,55.2811740398407,0.8583988266594895,0.7368485456103883,0.04411764144897461,0.0031577804134901985,9.971577139822329e-06
