dataset,experiment,descripcion_experimento,scaler,use_pca,n_components_pca,rebalanceo,rebalanceo_short,model,model_display_name,n,param_id,params,param_C,B_accuracy_mean,B_accuracy_std,B_accuracy_var,B_precision_weighted_mean,B_precision_weighted_std,B_precision_weighted_var,B_recall_weighted_mean,B_recall_weighted_std,B_recall_weighted_var,B_f1_weighted_mean,B_f1_weighted_std,B_f1_weighted_var,B_precision_macro_mean,B_precision_macro_std,B_precision_macro_var,B_recall_macro_mean,B_recall_macro_std,B_recall_macro_var,B_f1_macro_mean,B_f1_macro_std,B_f1_macro_var,B_fpr_weighted_mean,B_fpr_weighted_std,B_fpr_weighted_var,B_fnr_weighted_mean,B_fnr_weighted_std,B_fnr_weighted_var,B_fpr_macro_mean,B_fpr_macro_std,B_fpr_macro_var,B_fnr_macro_mean,B_fnr_macro_std,B_fnr_macro_var,B_mcc_mean,B_mcc_std,B_mcc_var,B_roc_auc_mean,B_roc_auc_std,B_roc_auc_var,B_detection_latency_seconds_mean,B_detection_latency_seconds_std,B_detection_latency_seconds_var,B_fit_time_mean,B_fit_time_std,B_fit_time_var,B_score_time_mean,B_score_time_std,B_score_time_var
CIC17,B__RobustScaler_pca_NONE_logreg,RobustScaler + PCA + NONE + logreg,RobustScaler,True,3,NONE,NONE,logreg,LogisticRegression,10000,1,"{""C"": 0.01}",0.01,0.8149688664536191,0.00019098110908316254,3.647378402663483e-08,0.7135517427644147,0.0005424997907592843,2.943060229738673e-07,0.8149688664536191,0.00019098110908316254,3.647378402663483e-08,0.7548255848431883,0.00017876388432286303,3.1956526338197956e-08,0.08568824159139692,0.0005037833811413444,2.5379769511420515e-07,0.09271321974778983,0.0015707403880685872,2.4672253667098557e-06,0.07625430278731332,0.00046327070713829475,2.1461974809241567e-07,0.7924050418268814,0.0005025517355830879,2.5255824693757386e-07,0.18503113354638087,0.0001909811090831707,3.6473784026637946e-08,0.06516241169155083,3.824671881684143e-05,1.4628115002545325e-09,0.9072867802522101,0.0015707403880686087,2.4672253667099235e-06,0.05761893633172257,0.0013810644610967196,1.9073390457043727e-06,0.3636328723071299,0.003470962382408725,1.2047579860096452e-05,3.502425115484309e-08,5.103380058449881e-09,2.6044488020983916e-17,270.21966218948364,1.9581423202971848,3.834321346538843,0.014126253128051759,0.002058325860535319,4.236705348148462e-06
CIC17,B__RobustScaler_pca_NONE_logreg,RobustScaler + PCA + NONE + logreg,RobustScaler,True,3,NONE,NONE,logreg,LogisticRegression,10000,2,"{""C"": 0.1}",0.1,0.8149663870795323,0.00019148085987117375,3.666491969700408e-08,0.7135478076071973,0.0005524007506841032,3.051465893563607e-07,0.8149663870795323,0.00019148085987117375,3.666491969700408e-08,0.7548249553290066,0.00017914262886715293,3.20920814774345e-08,0.0856853037072846,0.0005260334743983912,2.767112161876429e-07,0.0927130208670113,0.0015707953009925478,2.4673978776202688e-06,0.07625938028733609,0.00046662470560846723,2.177386158841887e-07,0.7924010126016843,0.0004969675066297593,2.469767026457998e-07,0.18503361292046785,0.00019148085987117492,3.666491969700453e-08,0.06516230836814348,3.785072975728253e-05,1.4326777431588333e-09,0.9072869791329886,0.0015707953009925757,2.467397877620357e-06,0.057612648495938265,0.0013711400672545336,1.880025084030767e-06,0.3618570987475156,0.0017675852533313276,3.1243576277943736e-06,3.5377864530884005e-08,5.076787058014261e-09,2.5773766832421094e-17,271.875207901001,1.3051269130376248,1.70335625913512,0.014268875122070312,0.002047598749755704,4.192660640001122e-06
CIC17,B__RobustScaler_pca_NONE_logreg,RobustScaler + PCA + NONE + logreg,RobustScaler,True,3,NONE,NONE,logreg,LogisticRegression,10000,3,"{""C"": 1}",1.0,0.8149673788318716,0.00018793684420555714,3.5320257409943856e-08,0.7135489255617162,0.0005473074900835104,2.995454887015118e-07,0.8149673788318716,0.00018793684420555714,3.5320257409943856e-08,0.7548249618805953,0.00017765754540060829,3.1562203437769196e-08,0.08569030422924827,0.000509131041496719,2.5921441741553386e-07,0.09271310041937017,0.0015704729060587574,2.4663851486646385e-06,0.07626193327615889,0.0004658125655053655,2.169813461826904e-07,0.7924060710409486,0.0005034616848762437,2.5347366813842607e-07,0.18503262116812827,0.00018793684420556611,3.532025740994723e-08,0.06516257948060514,3.806473783805393e-05,1.4489242666797748e-09,0.9072868995806299,0.0015704729060587307,2.4663851486645547e-06,0.05760809015297023,0.0013772270693926149,1.8967544006677707e-06,0.36187055339056073,0.004863815921225109,2.3656705315562853e-05,3.778611938945691e-08,1.0611211954426392e-09,1.125978191417616e-18,271.4696816444397,2.0754397018733637,4.307449956112197,0.015240192413330078,0.0004279803096534696,1.831671454510797e-07
CIC17,B__RobustScaler_pca_NONE_logreg,RobustScaler + PCA + NONE + logreg,RobustScaler,True,3,NONE,NONE,logreg,LogisticRegression,10000,4,"{""C"": 10}",10.0,0.8149634118262018,0.00019403288503057087,3.764876047328673e-08,0.7135779191781866,0.0005632029075623288,3.1719751508666115e-07,0.8149634118262018,0.00019403288503057087,3.764876047328673e-08,0.7548237354087292,0.00017901310015159814,3.204569002588611e-08,0.0857022802501998,0.0005045992087483811,2.5462036146949234e-07,0.09271278220993467,0.001571203512466027,2.468680477585581e-06,0.07622777953938914,0.0004994646082979113,2.49464894942186e-07,0.7923938497200097,0.0004950187228636448,2.4504353598555395e-07,0.18503658817379826,0.00019403288503057613,3.7648760473288776e-08,0.06516202919292054,3.776174796636586e-05,1.425949609475336e-09,0.9072872177900653,0.0015712035124660266,2.4686804775855793e-06,0.057642684482938446,0.0013613347831769483,1.8532323918874286e-06,0.3644493655391924,0.002785540481465358,7.759235773882258e-06,3.6763347921025296e-08,3.576949085463371e-09,1.2794564759997245e-17,271.8563010215759,3.0019619114338707,9.0117753176997,0.014827680587768555,0.0014426880050427708,2.08134867989429e-06
