rank,descripcion_experimento,scaler,use_pca,n_components_pca,rebalanceo,rebalanceo_short,model,model_display_name,n,param_id,params,param_C,B_accuracy_mean,B_accuracy_std,B_accuracy_var,B_precision_weighted_mean,B_precision_weighted_std,B_precision_weighted_var,B_recall_weighted_mean,B_recall_weighted_std,B_recall_weighted_var,B_f1_weighted_mean,B_f1_weighted_std,B_f1_weighted_var,B_precision_macro_mean,B_precision_macro_std,B_precision_macro_var,B_recall_macro_mean,B_recall_macro_std,B_recall_macro_var,B_f1_macro_mean,B_f1_macro_std,B_f1_macro_var,B_fpr_weighted_mean,B_fpr_weighted_std,B_fpr_weighted_var,B_fnr_weighted_mean,B_fnr_weighted_std,B_fnr_weighted_var,B_fpr_macro_mean,B_fpr_macro_std,B_fpr_macro_var,B_fnr_macro_mean,B_fnr_macro_std,B_fnr_macro_var,B_mcc_mean,B_mcc_std,B_mcc_var,B_roc_auc_mean,B_roc_auc_std,B_roc_auc_var,B_detection_latency_seconds_mean,B_detection_latency_seconds_std,B_detection_latency_seconds_var,B_fit_time_mean,B_fit_time_std,B_fit_time_var,B_score_time_mean,B_score_time_std,B_score_time_var
1,RobustScaler + PCA + NearMiss_SMOTE + logreg,RobustScaler,True,3,NearMiss_SMOTE,NM_SMOTE,logreg,LogisticRegression,10000,1,"{""C"": 0.01}",0.01,0.0038638540287162793,0.0024011547902272916,5.765544326631469e-06,0.6560413938736591,0.2455750387414297,0.0603070996528547,0.0038638540287162793,0.0024011547902272916,5.765544326631469e-06,0.0038917219657243194,0.0047213929708573195,2.229155158526091e-05,0.07500086738004261,0.020740994784113877,0.00043018886463463903,0.14414798172375817,0.011798912775363535,0.00013921434268063685,0.023324382577368352,0.004626612153850227,2.140554002215464e-05,0.01293172754785955,0.024999987439525674,0.0006249993719764415,0.9961361459712839,0.002401154790227287,5.765544326631448e-06,0.0672711915679429,0.0015096473751649597,2.2790351973424527e-06,0.8558520182762418,0.011798912775363548,0.00013921434268063715,-0.000268527296210375,0.012920015027023321,0.0001669267882985084,0.5658117087785632,0.0010290063408931937,1.0588540495983996e-06,3.87987235907475e-08,3.639462490744191e-09,1.3245687221533912e-17,14.144451808929443,2.3889633500739573,5.707145887996586,0.015648603439331055,0.0014678916791229766,2.1547059816384717e-06
2,RobustScaler + PCA + NearMiss_SMOTE + logreg,RobustScaler,True,3,NearMiss_SMOTE,NM_SMOTE,logreg,LogisticRegression,10000,4,"{""C"": 10}",10.0,0.0038276551931110043,0.002309690106566984,5.334668388373406e-06,0.6565698696628293,0.2433120654758827,0.05920076120614022,0.0038276551931110043,0.002309690106566984,5.334668388373406e-06,0.003823175956303502,0.004546305004891441,2.0668889197500966e-05,0.07535324643387646,0.020978666799343015,0.0004401044606778569,0.14414684741038672,0.011806466092176863,0.000139392641585722,0.02332254086538447,0.0046167362062311075,2.13142531979252e-05,0.01229924246865467,0.02358542831684433,0.0005562724288890025,0.9961723448068891,0.0023096901065669685,5.334668388373335e-06,0.06723143915170292,0.0014215841531992524,2.0209015046272355e-06,0.8558531525896133,0.011806466092176919,0.00013939264158572333,6.212243057696337e-05,0.012170025177820223,0.00014810951282877814,0.5658114503262442,0.0010295785443436812,1.0600319789728535e-06,3.54805981626678e-08,5.647471371944324e-09,3.1893932896930704e-17,13.89032187461853,2.4257328181043327,5.884179704828387,0.014310312271118165,0.0022777881078571306,5.188318664295366e-06
3,RobustScaler + PCA + NearMiss_SMOTE + logreg,RobustScaler,True,3,NearMiss_SMOTE,NM_SMOTE,logreg,LogisticRegression,10000,2,"{""C"": 0.1}",0.1,0.003780547135866347,0.002267267854180357,5.1405035225996e-06,0.6393707945442925,0.26020326195101895,0.06770573752995059,0.003780547135866347,0.002267267854180357,5.1405035225996e-06,0.0037293443813015857,0.004463634940659771,1.9924036883478755e-05,0.0658867575498288,0.021186854996859572,0.0004488828246579534,0.14408954584810013,0.011735670871205167,0.00013772597079725346,0.023210619134549398,0.00474773727785449,2.2541009259529165e-05,0.013007498796992131,0.02427904619469583,0.0005894720841241742,0.9962194528641337,0.00226726785418037,5.14050352259966e-06,0.06728179677740839,0.0014691348594393244,2.1583572352198033e-06,0.8559104541518998,0.01173567087120515,0.00013772597079725302,-0.0006331296494788737,0.012499832311426153,0.0001562458078137733,0.5658118172107783,0.0010282478403015462,1.057293621084794e-06,3.7079244782894834e-08,7.05696044231498e-09,4.9800690684398436e-17,14.666289854049683,1.6275863163830167,2.649037217277237,0.014955091476440429,0.0028462765781391763,8.101290359263659e-06
4,RobustScaler + PCA + NearMiss_SMOTE + logreg,RobustScaler,True,3,NearMiss_SMOTE,NM_SMOTE,logreg,LogisticRegression,10000,3,"{""C"": 1}",1.0,0.0033337643758676685,0.001298622605369632,1.6864206711770106e-06,0.6064123014819678,0.26591926114332504,0.0707130534470119,0.0033337643758676685,0.001298622605369632,1.6864206711770106e-06,0.002860050562378734,0.0025617643096004705,6.562636377942776e-06,0.0659596441120969,0.019613334812161393,0.000384682902453942,0.14405813088128766,0.011783068098837848,0.0001388406938218502,0.02314764009830301,0.004664370200527977,2.1756349367573404e-05,0.010944970668080398,0.019814971160015845,0.00039263308207225967,0.9966662356241324,0.0012986226053696098,1.6864206711769536e-06,0.06717408041948085,0.00123858020879266,1.5340809336128692e-06,0.8559418691187124,0.011783068098837838,0.00013884069382184993,0.00035567791273916364,0.010643576982880125,0.00011328573099049556,0.5658123468641173,0.0010276435638656787,1.0560512943545535e-06,3.8253225116880674e-08,7.505437582178747e-09,5.633159329998115e-17,14.5011887550354,3.868871201105927,14.96816437074682,0.015428590774536132,0.003027161356808594,9.163705880155248e-06
