dataset,experiment,descripcion_experimento,scaler,use_pca,n_components_pca,rebalanceo,rebalanceo_short,model,model_display_name,n,param_id,params,fold,train_original_rows_A,train_balanceado_rows_A,val_rows_B,param_C,B_accuracy,B_precision_weighted,B_recall_weighted,B_f1_weighted,B_precision_macro,B_recall_macro,B_f1_macro,B_mcc,B_roc_auc,B_detection_latency_seconds,B_fpr_macro,B_fnr_macro,B_fpr_weighted,B_fnr_weighted,B_score_time,B_fit_time
CIC17,C__RobustScaler_no_pca_NONE_logreg,RobustScaler + sin PCA + NONE + logreg,RobustScaler,False,,NONE,NONE,logreg,LogisticRegression,10000,1,"{""C"": 0.01}",1,1613311,1613311,403328,0.01,0.7133970366550302,0.728030338159919,0.7133970366550302,0.7199520196099554,0.09305817433366835,0.09990345065271634,0.08232007888841278,0.08842825499785953,0.5039747588946891,5.960996492973626e-08,0.059444504703916365,0.9000965493472837,0.6050646072137755,0.2866029633449699,0.024042367935180664,608.7574338912964
CIC17,C__RobustScaler_no_pca_NONE_logreg,RobustScaler + sin PCA + NONE + logreg,RobustScaler,False,,NONE,NONE,logreg,LogisticRegression,10000,1,"{""C"": 0.01}",2,1613311,1613311,403328,0.01,0.697995180101555,0.7304753964320732,0.697995180101555,0.7130091973141665,0.08404507235383765,0.07772817707878917,0.07846805920506353,0.08420642795743245,0.508918737081877,5.763796105228958e-08,0.059746533966377566,0.9222718229212108,0.5941931895972188,0.30200481989844496,0.02324700355529785,608.2598009109497
CIC17,C__RobustScaler_no_pca_NONE_logreg,RobustScaler + sin PCA + NONE + logreg,RobustScaler,False,,NONE,NONE,logreg,LogisticRegression,10000,1,"{""C"": 0.01}",3,1613311,1613311,403328,0.01,0.6265867978419549,0.7126078847450122,0.6265867978419548,0.6662401785628231,0.08027670131769214,0.06887643324666534,0.07340500064922084,0.03064906630875372,0.5069183053226801,5.977725422749328e-08,0.06584721082445237,0.9311235667533346,0.6142949602087405,0.3734132021580451,0.024109840393066406,602.3445110321045
CIC17,C__RobustScaler_no_pca_NONE_logreg,RobustScaler + sin PCA + NONE + logreg,RobustScaler,False,,NONE,NONE,logreg,LogisticRegression,10000,1,"{""C"": 0.01}",4,1613311,1613311,403328,0.01,0.6976356712154872,0.7283400842825725,0.6976356712154872,0.7119458341889372,0.08156101715502681,0.07655485690356151,0.07721025228669826,0.08231731831237629,0.5074707626939983,5.900346733433449e-08,0.05985162195822325,0.9234451430964384,0.5954100005888359,0.30236432878451286,0.02379775047302246,607.311802148819
CIC17,C__RobustScaler_no_pca_NONE_logreg,RobustScaler + sin PCA + NONE + logreg,RobustScaler,False,,NONE,NONE,logreg,LogisticRegression,10000,1,"{""C"": 0.01}",5,1613312,1613312,403327,0.01,0.7218038960942362,0.7300073427386207,0.7218038960942362,0.7249951769225068,0.08376196166487597,0.09683597862546334,0.08134491039964495,0.09568712076274821,0.5042849458525164,6.372496674982494e-08,0.05921770987145052,0.9031640213745367,0.6100695441659941,0.2781961039057638,0.02570199966430664,616.1467292308807
CIC17,C__RobustScaler_no_pca_NONE_logreg,RobustScaler + sin PCA + NONE + logreg,RobustScaler,False,,NONE,NONE,logreg,LogisticRegression,10000,2,"{""C"": 0.1}",1,1613311,1613311,403328,0.1,0.7022051531259917,0.7280689808049988,0.7022051531259917,0.7143241066903415,0.07860336514840564,0.07820306846514118,0.07671216962621923,0.08882184730205278,0.5108731506349103,6.012838441430482e-08,0.05885353937370016,0.9217969315348588,0.585008243731494,0.29779484687400826,0.024251461029052734,615.5223355293274
CIC17,C__RobustScaler_no_pca_NONE_logreg,RobustScaler + sin PCA + NONE + logreg,RobustScaler,False,,NONE,NONE,logreg,LogisticRegression,10000,2,"{""C"": 0.1}",2,1613311,1613311,403328,0.1,0.7243583386226595,0.7296849086323843,0.7243583386226595,0.7259914749327644,0.08194672529404556,0.07887808091415804,0.07867567267799105,0.09487875049322755,0.5074404676831331,7.221163718975071e-08,0.05895593547786047,0.921121919085842,0.6086973707905665,0.27564166137734053,0.029124975204467773,607.0355851650238
CIC17,C__RobustScaler_no_pca_NONE_logreg,RobustScaler + sin PCA + NONE + logreg,RobustScaler,False,,NONE,NONE,logreg,LogisticRegression,10000,2,"{""C"": 0.1}",3,1613311,1613311,403328,0.1,0.6973381466201206,0.7278071793061109,0.6973381466201206,0.7114989364561344,0.0811914209498105,0.0772528718787774,0.07709816164906982,0.08136982219930913,0.5065666489702576,7.127115212709553e-08,0.05989086644244088,0.9227471281212226,0.5957011432567336,0.3026618533798794,0.028745651245117188,595.119580745697
CIC17,C__RobustScaler_no_pca_NONE_logreg,RobustScaler + sin PCA + NONE + logreg,RobustScaler,False,,NONE,NONE,logreg,LogisticRegression,10000,2,"{""C"": 0.1}",4,1613311,1613311,403328,0.1,0.7055027173913043,0.7278988119874972,0.7055027173913043,0.7156678241718593,0.0806093759689679,0.0787755232633787,0.0773602577557448,0.08499973947183609,0.5062271329776779,7.18705561833698e-08,0.05952844734810979,0.9212244767366212,0.598429427612951,0.2944972826086957,0.028987407684326172,607.8810291290283
CIC17,C__RobustScaler_no_pca_NONE_logreg,RobustScaler + sin PCA + NONE + logreg,RobustScaler,False,,NONE,NONE,logreg,LogisticRegression,10000,2,"{""C"": 0.1}",5,1613312,1613312,403327,0.1,0.686038871684762,0.7273622511601093,0.686038871684762,0.7053980343838774,0.08135516236988778,0.07644982891479485,0.07700444562587742,0.0769107536837972,0.5060081223370245,6.734445406368903e-08,0.06017798718960132,0.9235501710852051,0.5887086795287819,0.313961128315238,0.027161836624145508,610.2322735786438
