dataset,experiment,descripcion_experimento,scaler,use_pca,n_components_pca,rebalanceo,rebalanceo_short,model,model_display_name,n,param_id,params,fold,train_original_rows_A,train_balanceado_rows_A,val_rows_B,param_alpha,param_hidden_layer_sizes,B_accuracy,B_precision_weighted,B_recall_weighted,B_f1_weighted,B_precision_macro,B_recall_macro,B_f1_macro,B_mcc,B_roc_auc,B_detection_latency_seconds,B_fpr_macro,B_fnr_macro,B_fpr_weighted,B_fnr_weighted,B_score_time,B_fit_time
CIC18,B__RobustScaler_pca_RUS_SMOTE_mlp,RobustScaler + PCA + RUS_SMOTE + mlp,RobustScaler,True,3,RUS_SMOTE,RUS_SMOTE,mlp,MLPClassifier,10000,1,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [50]}",1,2225871,150000,556468,0.0001,"(50,)",0.15916279103200903,0.6347211529418589,0.15916279103200903,0.13247711933156828,0.13403193277781067,0.21818546731031732,0.0917795474691398,0.15958262431925976,0.48527638080962127,2.1242196167600271e-07,0.05931228510186938,0.7818145326896827,0.04884706756004971,0.840837208967991,0.11820602416992188,2.5565075874328613
CIC18,B__RobustScaler_pca_RUS_SMOTE_mlp,RobustScaler + PCA + RUS_SMOTE + mlp,RobustScaler,True,3,RUS_SMOTE,RUS_SMOTE,mlp,MLPClassifier,10000,1,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [50]}",2,2225871,150000,556468,0.0001,"(50,)",0.10415333855675439,0.6299529487941707,0.10415333855675439,0.12800642790411232,0.13467274524538053,0.21522046758199387,0.08759004229084263,0.13563964765667277,0.5948466264430424,2.169519609515061e-07,0.06014058887127586,0.7847795324180062,0.0062621716258923175,0.8958466614432457,0.1207268238067627,4.075484275817871
CIC18,B__RobustScaler_pca_RUS_SMOTE_mlp,RobustScaler + PCA + RUS_SMOTE + mlp,RobustScaler,True,3,RUS_SMOTE,RUS_SMOTE,mlp,MLPClassifier,10000,1,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [50]}",3,2225871,150000,556468,0.0001,"(50,)",0.14785216759993386,0.6311110633441038,0.14785216759993386,0.11261855568947964,0.12252775941275289,0.21820191979620537,0.08424886159661707,0.14913762965680527,0.5067827636433768,2.1377971895435987e-07,0.06008058294861989,0.7817980802037946,0.049060911829232313,0.8521478324000661,0.11896157264709473,2.1493072509765625
CIC18,B__RobustScaler_pca_RUS_SMOTE_mlp,RobustScaler + PCA + RUS_SMOTE + mlp,RobustScaler,True,3,RUS_SMOTE,RUS_SMOTE,mlp,MLPClassifier,10000,1,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [50]}",4,2225871,150000,556468,0.0001,"(50,)",0.1286327335983381,0.6324535512187098,0.1286327335983381,0.10136070862990446,0.12418581894091275,0.22056787141281914,0.08579055187255276,0.140317343829061,0.49102173548831946,2.1063746844016884e-07,0.06054535310123415,0.7794321285871809,0.03681303011685031,0.871367266401662,0.11721301078796387,3.646592855453491
CIC18,B__RobustScaler_pca_RUS_SMOTE_mlp,RobustScaler + PCA + RUS_SMOTE + mlp,RobustScaler,True,3,RUS_SMOTE,RUS_SMOTE,mlp,MLPClassifier,10000,1,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [50]}",5,2225872,150000,556467,0.0001,"(50,)",0.09820887851391008,0.631942819323056,0.09820887851391008,0.11766779490335166,0.1277541415159191,0.2191843070947695,0.0795075729289961,0.12751671107815732,0.5795335714714029,2.1571412880397073e-07,0.06051073896110249,0.7808156929052305,0.005869962930447427,0.90179112148609,0.12003779411315918,2.630430221557617
CIC18,B__RobustScaler_pca_RUS_SMOTE_mlp,RobustScaler + PCA + RUS_SMOTE + mlp,RobustScaler,True,3,RUS_SMOTE,RUS_SMOTE,mlp,MLPClassifier,10000,2,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100]}",1,2225871,150000,556468,0.0001,"(100,)",0.10292415736394546,0.6272106355503289,0.10292415736394546,0.07730909724914709,0.12214867182959284,0.21892216050676958,0.08505228324123013,0.12291928526890063,0.5241405199063316,2.8070014332203463e-07,0.06157621029819259,0.7810778394932304,0.026567311836834265,0.8970758426360546,0.15620064735412598,5.146770715713501
CIC18,B__RobustScaler_pca_RUS_SMOTE_mlp,RobustScaler + PCA + RUS_SMOTE + mlp,RobustScaler,True,3,RUS_SMOTE,RUS_SMOTE,mlp,MLPClassifier,10000,2,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100]}",2,2225871,150000,556468,0.0001,"(100,)",0.11468763702495022,0.6289548111984298,0.11468763702495022,0.09970816960401845,0.12148915068582664,0.21367130887527616,0.08326781990317962,0.13294680527623173,0.5231178289428062,2.8435653354402894e-07,0.06075697721561841,0.7863286911247239,0.026042295259226345,0.8853123629750498,0.1582353115081787,3.866166353225708
CIC18,B__RobustScaler_pca_RUS_SMOTE_mlp,RobustScaler + PCA + RUS_SMOTE + mlp,RobustScaler,True,3,RUS_SMOTE,RUS_SMOTE,mlp,MLPClassifier,10000,2,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100]}",3,2225871,150000,556468,0.0001,"(100,)",0.05575522761416649,0.6330122517307335,0.05575522761416649,0.0961600506611405,0.1360967337732574,0.21774788856998792,0.06536103427080049,0.053138865426734405,0.49976400703972546,2.835300539637352e-07,0.06304504063954192,0.782252111430012,0.0014308372072952436,0.9442447723858335,0.1577754020690918,3.061293125152588
CIC18,B__RobustScaler_pca_RUS_SMOTE_mlp,RobustScaler + PCA + RUS_SMOTE + mlp,RobustScaler,True,3,RUS_SMOTE,RUS_SMOTE,mlp,MLPClassifier,10000,2,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100]}",4,2225871,150000,556468,0.0001,"(100,)",0.037755989562742155,0.6257136765253373,0.037755989562742155,0.06157682566461467,0.11916337140624947,0.22220718420997596,0.05186682586603645,0.038580753907562486,0.5268724920869564,2.786350154956915e-07,0.06429020963732664,0.777792815790024,0.0021091341226416776,0.9622440104372578,0.15505146980285645,4.073177099227905
CIC18,B__RobustScaler_pca_RUS_SMOTE_mlp,RobustScaler + PCA + RUS_SMOTE + mlp,RobustScaler,True,3,RUS_SMOTE,RUS_SMOTE,mlp,MLPClassifier,10000,2,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100]}",5,2225872,150000,556467,0.0001,"(100,)",0.16036350762938323,0.6386351164507791,0.16036350762938323,0.1356850245948964,0.13441707742264963,0.2167512012681715,0.08438163876966927,0.1600435981381889,0.5676884171969212,2.8113295433590754e-07,0.05919089056893922,0.7832487987318285,0.04822686616347159,0.8396364923706168,0.15644121170043945,3.1159801483154297
