rank,descripcion_experimento,scaler,use_pca,n_components_pca,rebalanceo,rebalanceo_short,model,model_display_name,n,param_id,params,param_C,B_accuracy_mean,B_accuracy_std,B_accuracy_var,B_precision_weighted_mean,B_precision_weighted_std,B_precision_weighted_var,B_recall_weighted_mean,B_recall_weighted_std,B_recall_weighted_var,B_f1_weighted_mean,B_f1_weighted_std,B_f1_weighted_var,B_precision_macro_mean,B_precision_macro_std,B_precision_macro_var,B_recall_macro_mean,B_recall_macro_std,B_recall_macro_var,B_f1_macro_mean,B_f1_macro_std,B_f1_macro_var,B_fpr_weighted_mean,B_fpr_weighted_std,B_fpr_weighted_var,B_fnr_weighted_mean,B_fnr_weighted_std,B_fnr_weighted_var,B_fpr_macro_mean,B_fpr_macro_std,B_fpr_macro_var,B_fnr_macro_mean,B_fnr_macro_std,B_fnr_macro_var,B_mcc_mean,B_mcc_std,B_mcc_var,B_roc_auc_mean,B_roc_auc_std,B_roc_auc_var,B_detection_latency_seconds_mean,B_detection_latency_seconds_std,B_detection_latency_seconds_var,B_fit_time_mean,B_fit_time_std,B_fit_time_var,B_score_time_mean,B_score_time_std,B_score_time_var
1,StandardScaler + PCA + RUS_SMOTE + logreg,StandardScaler,True,44,RUS_SMOTE,RUS_SMOTE,logreg,LogisticRegression,10000,4,"{""C"": 10}",10.0,0.8773129390614255,0.0060598155733157626,3.672136478260025e-05,0.9572733853583133,0.0013834866854670596,1.914035408864631e-06,0.8773129390614255,0.0060598155733157626,3.672136478260025e-05,0.9068507853727521,0.005018430227116896,2.5184641944440545e-05,0.5558107558245344,0.003921777297659691,1.5380337172438944e-05,0.9370130010978508,0.011981685564933725,0.0001435607889769412,0.5920405005599629,0.003647248471368489,1.330242141189978e-05,0.00559441832373604,0.00020531132540205457,4.215274033834834e-08,0.12268706093857455,0.006059815573315794,3.672136478260063e-05,0.008552098617487371,0.00041655640508824393,1.735192386200412e-07,0.06298699890214927,0.011981685564933722,0.0001435607889769411,0.827985729160422,0.006857405587543685,4.7024011392075355e-05,0.9883488335859385,0.0003191215541883918,1.018385663476147e-07,5.860851873778177e-08,5.150645536740805e-09,2.6529149445147973e-17,47.3128885269165,1.0824497752278333,1.171697515890787,0.03261375427246094,0.0028661798899644454,8.2149871616366e-06
2,StandardScaler + PCA + RUS_SMOTE + logreg,StandardScaler,True,44,RUS_SMOTE,RUS_SMOTE,logreg,LogisticRegression,10000,3,"{""C"": 1}",1.0,0.8510454711734052,0.005456235918117692,2.977051039415762e-05,0.9508243812343169,0.0015269744503087236,2.3316509718956287e-06,0.8510454711734052,0.005456235918117692,2.977051039415762e-05,0.8869474940782451,0.004853938090303617,2.3560714984500324e-05,0.5454462954288684,0.0035206179853003324,1.2394750998420171e-05,0.9253770552011021,0.007084866285197096,5.01953302791225e-05,0.5810405722551033,0.0034840350764724333,1.2138500414090273e-05,0.006048188490109829,0.00022121861851942087,4.893767717964106e-08,0.1489545288265948,0.005456235918117709,2.97705103941578e-05,0.010333514487780306,0.0003775662489876166,1.425562723745789e-07,0.07462294479889786,0.007084866285197049,5.019533027912183e-05,0.7978466340188974,0.0058276961738273,3.396204269444135e-05,0.9868352147277614,0.00036088643335086386,1.302390177767075e-07,6.237862365699223e-08,3.757392729158438e-09,1.4118000121132697e-17,32.172414016723636,3.3214505406065316,11.032033693695421,0.034711694717407225,0.0020908521775491154,4.371662828361878e-06
3,StandardScaler + PCA + RUS_SMOTE + logreg,StandardScaler,True,44,RUS_SMOTE,RUS_SMOTE,logreg,LogisticRegression,10000,2,"{""C"": 0.1}",0.1,0.8114586323644808,0.0019154617095908718,3.668993560908785e-06,0.939957829193607,0.0006175597538108824,3.813800495269576e-07,0.8114586323644808,0.0019154617095908718,3.668993560908785e-06,0.8547450947610363,0.0015392537454193306,2.3693020927874377e-06,0.517643832972509,0.0037617732244016816,1.4150937791825425e-05,0.909879472259741,0.011917121350865974,0.00014201778129126566,0.5565329624887463,0.002405097028483241,5.784491716418916e-06,0.00641460873022214,0.00018404118279489345,3.387115696454338e-08,0.18854136763551915,0.0019154617095908856,3.6689935609088383e-06,0.01299706509104942,0.0001308056489811095,1.7110117805369233e-08,0.09012052774025905,0.011917121350866014,0.0001420177812912666,0.7554773732051777,0.001853725205230976,3.4362971365086236e-06,0.9830471043774768,0.0003820692475686192,1.4597690993765086e-07,6.08964434844922e-08,4.2664186231221096e-09,1.820232786772316e-17,21.01364598274231,0.6801286669987597,0.46257500367350984,0.03388690948486328,0.002374117136512039,5.636432177880124e-06
4,StandardScaler + PCA + RUS_SMOTE + logreg,StandardScaler,True,44,RUS_SMOTE,RUS_SMOTE,logreg,LogisticRegression,10000,1,"{""C"": 0.01}",0.01,0.7730132803626242,0.002411227453437557,5.814017832210968e-06,0.9333169947552434,0.0001616241373501057,2.6122361774165836e-08,0.7730132803626242,0.002411227453437557,5.814017832210968e-06,0.8232617137791634,0.001745505584535574,3.0467897456448764e-06,0.49742879002229345,0.0019893198524919223,3.957393475518484e-06,0.9029671922812985,0.008682860990184728,7.539207497487171e-05,0.5364481225319625,0.0012336393076710628,1.5218659414311391e-06,0.006640044052417896,0.00011562037630803688,1.3368071417612056e-08,0.22698671963737588,0.0024112274534375507,5.814017832210935e-06,0.015575117579319581,0.00016190279881992333,2.621251626572457e-08,0.09703280771870144,0.008682860990184678,7.539207497487083e-05,0.7189279350591808,0.0021317674543674275,4.544432479500183e-06,0.9724259029159683,0.0005891363069776511,3.470815881992651e-07,6.272086605837588e-08,3.958807283167011e-09,1.567215510525617e-17,10.78883261680603,0.6774232176917641,0.4589022158678631,0.03490214347839356,0.002202969914577397,4.8530764445331436e-06
