n,mean_accuracy,std_accuracy,mean_precision_weighted,std_precision_weighted,mean_recall_weighted,std_recall_weighted,mean_f1_weighted,std_f1_weighted,mean_precision_macro,std_precision_macro,mean_recall_macro,std_recall_macro,mean_f1_macro,std_f1_macro,mean_fpr_weighted,std_fpr_weighted,mean_fnr_weighted,std_fnr_weighted,mean_fpr_macro,std_fpr_macro,mean_fnr_macro,std_fnr_macro,mean_mcc,std_mcc,mean_roc_auc,std_roc_auc,mean_detection_latency_seconds,std_detection_latency_seconds,mean_fit_time,mean_score_time
500,0.112598,0.003004,0.800448,0.030574,0.112598,0.003004,0.158183,0.006198,0.273277,0.018447,0.521859,0.022846,0.145082,0.019847,0.057283,0.013684,0.887402,0.003004,0.062979,0.001029,0.478141,0.022846,0.11779,0.013358,0.508187,0.024626,2e-06,0.0,0.000967,0.678683
1000,0.121747,0.005091,0.785376,0.045904,0.121747,0.005091,0.167385,0.010277,0.296282,0.03217,0.613882,0.018094,0.194603,0.036527,0.068719,0.019458,0.878253,0.005091,0.063131,0.001474,0.386118,0.018094,0.123316,0.017061,0.506839,0.011058,3e-06,0.0,0.001638,1.129657
2000,0.123789,0.004773,0.853974,0.025807,0.123789,0.004773,0.167812,0.008319,0.307958,0.007865,0.649425,0.025752,0.215413,0.007509,0.037373,0.011867,0.876211,0.004773,0.060906,0.000868,0.350575,0.025752,0.135527,0.013337,0.529218,0.004896,5e-06,0.0,0.002765,2.165477
5000,0.137,0.00572,0.831067,0.021215,0.137,0.00572,0.182811,0.009728,0.284038,0.009946,0.714147,0.022091,0.203158,0.011802,0.053519,0.013717,0.863,0.00572,0.061101,0.000639,0.285853,0.022091,0.14275,0.012572,0.533247,0.004768,1.4e-05,1e-06,0.005841,5.461425
10000,0.156576,0.006149,0.829315,0.011881,0.156576,0.006149,0.213305,0.010058,0.290642,0.010309,0.729475,0.019583,0.218954,0.011188,0.066638,0.012193,0.843424,0.006149,0.060671,0.000456,0.270525,0.019583,0.156412,0.012038,0.525437,0.004206,2.6e-05,1e-06,0.009863,10.396429
20000,0.189684,0.008484,0.888057,0.020596,0.189684,0.008484,0.257118,0.012378,0.305705,0.011395,0.74723,0.018969,0.244596,0.014015,0.044084,0.010265,0.810316,0.008484,0.05696,0.001156,0.25277,0.018969,0.202574,0.012415,0.552212,0.008542,5.2e-05,3e-06,0.020242,21.084017
30000,0.25609,0.030923,0.935879,0.011828,0.25609,0.030923,0.336367,0.0389,0.323404,0.014365,0.799797,0.016044,0.283249,0.013997,0.025225,0.005244,0.74391,0.030923,0.051276,0.002088,0.200203,0.016044,0.278624,0.006172,0.604213,0.03278,7.8e-05,4e-06,0.031684,31.646486
40000,0.340377,0.087067,0.968102,0.005715,0.340377,0.087067,0.443994,0.10119,0.329351,0.011612,0.815372,0.01921,0.304559,0.007013,0.00233,0.001649,0.659623,0.087067,0.04413,0.005703,0.184628,0.01921,0.331797,0.02556,0.681484,0.048124,0.000104,3e-06,0.041741,42.079545
