rank,descripcion_experimento,scaler,use_pca,n_components_pca,rebalanceo,rebalanceo_short,model,model_display_name,n,param_id,params,param_alpha,param_hidden_layer_sizes,B_accuracy_mean,B_accuracy_std,B_accuracy_var,B_precision_weighted_mean,B_precision_weighted_std,B_precision_weighted_var,B_recall_weighted_mean,B_recall_weighted_std,B_recall_weighted_var,B_f1_weighted_mean,B_f1_weighted_std,B_f1_weighted_var,B_precision_macro_mean,B_precision_macro_std,B_precision_macro_var,B_recall_macro_mean,B_recall_macro_std,B_recall_macro_var,B_f1_macro_mean,B_f1_macro_std,B_f1_macro_var,B_fpr_weighted_mean,B_fpr_weighted_std,B_fpr_weighted_var,B_fnr_weighted_mean,B_fnr_weighted_std,B_fnr_weighted_var,B_fpr_macro_mean,B_fpr_macro_std,B_fpr_macro_var,B_fnr_macro_mean,B_fnr_macro_std,B_fnr_macro_var,B_mcc_mean,B_mcc_std,B_mcc_var,B_roc_auc_mean,B_roc_auc_std,B_roc_auc_var,B_detection_latency_seconds_mean,B_detection_latency_seconds_std,B_detection_latency_seconds_var,B_fit_time_mean,B_fit_time_std,B_fit_time_var,B_score_time_mean,B_score_time_std,B_score_time_var
1,RobustScaler + PCA + NONE + mlp,RobustScaler,True,3,NONE,NONE,mlp,MLPClassifier,10000,4,"{""alpha"": 0.001, ""hidden_layer_sizes"": [50]}",0.001,"(50,)",0.6109665282116717,0.0006151428313350805,3.7840070294293926e-07,0.3816082194419973,0.016859723557200623,0.0002842502784252256,0.6109665282116717,0.0006151428313350805,3.7840070294293926e-07,0.4642700287767269,0.0008637084830343011,7.459923436654136e-07,0.06487647750914624,0.0416572922228561,0.0017353299953404276,0.07897646949238232,0.016918345541624615,0.0002862304158658095,0.06216015749899527,0.015921549366541766,0.00025349573423122656,0.6098613337204138,0.0020311845276253034,4.125710585264427e-06,0.3890334717883283,0.0006151428313350516,3.784007029429038e-07,0.06659298703391613,0.0001499398242544371,2.248195089745149e-08,0.9210235305076179,0.016918345541624594,0.00028623041586580875,0.009346768724516232,0.021361469948924478,0.00045631239837880353,0.6536722222069307,0.08121510647888092,0.006595893520375964,1.8516859315073607e-07,2.0310327854586535e-08,4.125094175607937e-16,57.15875425338745,20.036825196533183,401.47436395642706,0.10304036140441894,0.011302066467451386,0.00012773670643468905
2,RobustScaler + PCA + NONE + mlp,RobustScaler,True,3,NONE,NONE,mlp,MLPClassifier,10000,5,"{""alpha"": 0.001, ""hidden_layer_sizes"": [100]}",0.001,"(100,)",0.6100928036464648,0.0014241049587191263,2.0280749334484046e-06,0.38766951468352506,0.012311056103442167,0.00015156210238210062,0.6100928036464648,0.0014241049587191263,2.0280749334484046e-06,0.46520398624570225,0.001697112457204073,2.8801906923972463e-06,0.07176619155251485,0.019357567952783875,0.00037471543704664526,0.07467016511085216,0.014288144999726561,0.00020415108753321114,0.05810463600242473,0.010000884524654915,0.00010001769127548217,0.6079215709008967,0.003020468686447998,9.123231085812893e-06,0.38990719635353516,0.0014241049587191187,2.0280749334483825e-06,0.06652191781696212,0.0001426500079267297,2.0349024761496047e-08,0.9253298348891479,0.014288144999726563,0.0002041510875332112,0.016636402894198567,0.016248325954457805,0.0002640080963223071,0.6139199316976246,0.04083970674982962,0.0016678816474120788,2.6475830838630653e-07,1.8330100809137366e-08,3.3599259567313835e-16,57.12993383407593,25.239182853453766,637.0163511100747,0.1473294734954834,0.01020011626847951,0.00010404237189050037
3,RobustScaler + PCA + NONE + mlp,RobustScaler,True,3,NONE,NONE,mlp,MLPClassifier,10000,2,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100]}",0.0001,"(100,)",0.6097873051591071,0.001195043600654768,1.4281292074659125e-06,0.37559063590612646,0.0033341509937077664,1.1116562848842485e-05,0.6097873051591071,0.001195043600654768,1.4281292074659125e-06,0.46339913952028144,0.00038402113999034393,1.474722359594833e-07,0.04924447734138003,0.011717970184017202,0.00013731082523351615,0.06705889043779352,0.0007546190433729499,5.69449900621106e-07,0.051531388605228455,0.001456163658395092,2.1204126000305783e-06,0.6106367632518725,0.0008185137641519569,6.699647821062052e-07,0.39021269484089294,0.001195043600654768,1.4281292074659125e-06,0.06672329720618439,4.0462564062861726e-05,1.6372190905411893e-09,0.9329411095622065,0.0007546190433729759,5.694499006211452e-07,-0.006262597800295745,0.0042755112038033675,1.8279996053848124e-05,0.6423179681309262,0.05263539480340517,0.0027704847861103324,2.773365813947806e-07,2.069584018672844e-08,4.2831780103460387e-16,50.56167063713074,11.460373579210172,131.34016257505857,0.15432887077331542,0.011516450434962881,0.00013262863062095674
4,RobustScaler + PCA + NONE + mlp,RobustScaler,True,3,NONE,NONE,mlp,MLPClassifier,10000,1,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [50]}",0.0001,"(50,)",0.6106250889307345,0.0005021556396621145,2.521602864444674e-07,0.3772439087034918,0.004168383849185336,1.737542391414916e-05,0.6106250889307345,0.0005021556396621145,2.521602864444674e-07,0.4636289973992847,0.00022421699970447904,5.027326295647835e-08,0.047763300878742074,0.008949073287962699,8.00859127133275e-05,0.06665601698477897,0.00010031512871412178,1.006312504893082e-08,0.05068876132499285,0.00018041231602576927,3.2548603773782046e-08,0.6111050451481652,0.00025842951431180654,6.678581386743623e-08,0.38937491106926553,0.0005021556396621302,2.521602864444832e-07,0.06669866374782871,2.872164878428701e-05,8.249331088879356e-10,0.933343983015221,0.00010031512871410336,1.0063125048927123e-08,-0.00557084833260449,0.005016502693536768,2.5165299274261643e-05,0.6433467106043957,0.060229270442496464,0.003627565018035378,1.9195909314351763e-07,2.069224662744775e-08,4.281690704911228e-16,45.759349298477176,10.307803256987865,106.25080798476965,0.1068190574645996,0.011514607236867756,0.00013258617981932728
5,RobustScaler + PCA + NONE + mlp,RobustScaler,True,3,NONE,NONE,mlp,MLPClassifier,10000,6,"{""alpha"": 0.001, ""hidden_layer_sizes"": [100, 50]}",0.001,"(100, 50)",0.6113133590147383,1.4425302961658637e-05,2.0808936553563744e-10,0.37703296368001304,0.007425157254112333,5.5132960248297e-05,0.6113133590147383,1.4425302961658637e-05,2.0808936553563744e-10,0.4638775847093573,4.275600798881741e-05,1.828076219139818e-09,0.04605598565159153,0.01185409946779526,0.0001405196741923839,0.06668356873919715,3.790383130775702e-05,1.436700427806901e-09,0.05062268804778695,8.330991350486629e-05,6.940541688188302e-09,0.6112985629524074,4.8480284474460525e-05,2.350337982724618e-09,0.38868664098526184,1.4425302961646594e-05,2.0808936553529e-10,0.06666568026251127,2.2732647239114574e-06,5.167732504980234e-12,0.933316431260803,3.7903831307766304e-05,1.436700427807605e-09,0.0007754236280877485,0.002013227934926805,4.053086717969649e-06,0.5192876601483922,0.04016749772539376,0.001613427873519513,3.04085896715498e-07,5.366914914053601e-09,2.880377569469097e-17,53.568882608413695,1.8022405324867221,3.248070936938024,0.16921401023864746,0.0029865363155572554,8.919399164142305e-06
6,RobustScaler + PCA + NONE + mlp,RobustScaler,True,3,NONE,NONE,mlp,MLPClassifier,10000,3,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100, 50]}",0.0001,"(100, 50)",0.6113198283894372,1.0414741926730283e-06,1.0846684940039362e-12,0.37371228661224604,6.74264960071878e-07,4.5463323638073133e-13,0.6113198283894372,1.0414741926730283e-06,1.0846684940039362e-12,0.4638584416476418,7.890077099351026e-07,6.22533166337035e-13,0.040754669873567725,4.2982172384414127e-08,1.8474671428834926e-15,0.06666662747173065,8.764254129983683e-08,7.681215045493604e-15,0.05058543252294699,5.348400378863444e-08,2.8605386612626634e-15,0.6113201878049557,4.912938103443566e-07,2.4136960808267664e-13,0.38868017161056284,1.0414741926786128e-06,1.0846684940155682e-12,0.06666669062770123,5.35785021043486e-08,2.870655887745688e-15,0.9333333725282694,8.764254128742416e-08,7.681215043317849e-15,-9.596125730686753e-05,0.00021457589454450422,4.6042814519574196e-08,0.5012255543235827,0.0007852265951875497,6.165808057898322e-07,3.025814371430328e-07,2.0264994433814763e-09,4.106699994025434e-18,53.22669196128845,2.2086831586490203,4.878281295299814,0.16837682723999023,0.0011277915360224239,1.2719137487238184e-06
