rank,descripcion_experimento,scaler,use_pca,n_components_pca,rebalanceo,rebalanceo_short,model,model_display_name,n,param_id,params,param_C,B_accuracy_mean,B_accuracy_std,B_accuracy_var,B_precision_weighted_mean,B_precision_weighted_std,B_precision_weighted_var,B_recall_weighted_mean,B_recall_weighted_std,B_recall_weighted_var,B_f1_weighted_mean,B_f1_weighted_std,B_f1_weighted_var,B_precision_macro_mean,B_precision_macro_std,B_precision_macro_var,B_recall_macro_mean,B_recall_macro_std,B_recall_macro_var,B_f1_macro_mean,B_f1_macro_std,B_f1_macro_var,B_fpr_weighted_mean,B_fpr_weighted_std,B_fpr_weighted_var,B_fnr_weighted_mean,B_fnr_weighted_std,B_fnr_weighted_var,B_fpr_macro_mean,B_fpr_macro_std,B_fpr_macro_var,B_fnr_macro_mean,B_fnr_macro_std,B_fnr_macro_var,B_mcc_mean,B_mcc_std,B_mcc_var,B_roc_auc_mean,B_roc_auc_std,B_roc_auc_var,B_detection_latency_seconds_mean,B_detection_latency_seconds_std,B_detection_latency_seconds_var,B_fit_time_mean,B_fit_time_std,B_fit_time_var,B_score_time_mean,B_score_time_std,B_score_time_var
1,RobustScaler + sin PCA + NearMiss_SMOTE + logreg,RobustScaler,False,,NearMiss_SMOTE,NM_SMOTE,logreg,LogisticRegression,10000,2,"{""C"": 0.1}",0.1,0.11090092555631696,0.027061948668247734,0.0007323490657228753,0.8053587845527266,0.012836188902221709,0.00016476774553351976,0.11090092555631696,0.027061948668247734,0.0007323490657228753,0.08540951518707908,0.017324845138208565,0.00030015025906290893,0.22775942877006577,0.02111839818707916,0.00044598674198802847,0.33469184976678756,0.02482984285647304,0.0006165210962771453,0.1221713336099203,0.02880882269018452,0.0008299482647944904,0.0167465352361112,0.0008866231232806549,7.861005627359434e-07,0.8890990744436831,0.027061948668247758,0.0007323490657228766,0.060389707311986285,0.0017528435751370355,3.072460598899184e-06,0.6653081502332123,0.024829842856473022,0.0006165210962771443,0.12510051065081226,0.03674170266487601,0.001349952714714157,0.6174179161758755,0.003889781910682014,1.5130403312669019e-05,8.659872357413417e-08,4.475350642617566e-09,2.0028763374377458e-17,59.578564167022705,0.8138412978030553,0.6623376580097613,0.048189401626586914,0.0024903997130514893,6.20209073076694e-06
2,RobustScaler + sin PCA + NearMiss_SMOTE + logreg,RobustScaler,False,,NearMiss_SMOTE,NM_SMOTE,logreg,LogisticRegression,10000,3,"{""C"": 1}",1.0,0.1095815480504557,0.02032871798356187,0.00041325677485519187,0.8039745886871275,0.0148980620438519,0.00022195225266246062,0.1095815480504557,0.02032871798356187,0.00041325677485519187,0.08437646847398314,0.016214934407744894,0.00026292409784746927,0.22552953811015536,0.020605654833589268,0.0004245930111210208,0.3335919613640558,0.01830618433479553,0.00033511638489951335,0.12077074475248062,0.025515248748158418,0.0006510279186803998,0.016760101067968644,0.0006958080846283749,4.841488906342077e-07,0.8904184519495443,0.020328717983561874,0.0004132567748551919,0.060478570201167536,0.0013204194228432053,1.7435074522215837e-06,0.6664080386359443,0.018306184334795535,0.0003351163848995134,0.1230603862743963,0.027009460777098194,0.0007295109714696058,0.6178049684212192,0.002851952060785306,8.133630557017555e-06,8.699350108894759e-08,7.96024226390273e-09,6.336545690002326e-17,60.08563642501831,0.5667737478875234,0.32123248129447,0.04840908050537109,0.004429595253782002,1.9621314112328037e-05
3,RobustScaler + sin PCA + NearMiss_SMOTE + logreg,RobustScaler,False,,NearMiss_SMOTE,NM_SMOTE,logreg,LogisticRegression,10000,1,"{""C"": 0.01}",0.01,0.09895378848007529,0.022627272714667922,0.0005119934705039554,0.8005259293822397,0.013628031659800154,0.00018572324692051534,0.09895378848007529,0.022627272714667922,0.0005119934705039554,0.07846845148251232,0.016641611231767474,0.0002769432243892893,0.21975754734687541,0.019679699980506442,0.0003872905913227453,0.32876744769345556,0.006875681603203632,4.7274997508632865e-05,0.11077278667500541,0.02633733342365259,0.0006936551318686479,0.01634998197787816,0.0008045313519993221,6.47270696349857e-07,0.9010462115199248,0.022627272714667915,0.0005119934705039551,0.06115974623318685,0.001460917908383028,2.1342811350342416e-06,0.6712325523065444,0.006875681603203597,4.727499750863239e-05,0.10888156456980944,0.03020408566438799,0.0009122867908216881,0.618773933267575,0.0047965700667085935,2.3007084404844884e-05,8.35443908335616e-08,7.2419541879953196e-09,5.2445900461022946e-17,59.87095489501953,1.377592638685856,1.8977614781614593,0.0464897632598877,0.004029914172373309,1.6240208236695255e-05
4,RobustScaler + sin PCA + NearMiss_SMOTE + logreg,RobustScaler,False,,NearMiss_SMOTE,NM_SMOTE,logreg,LogisticRegression,10000,4,"{""C"": 10}",10.0,0.09349831544858273,0.010523431427746322,0.00011074260901447902,0.7915833193268338,0.004953299483221842,2.453517577048577e-05,0.09349831544858273,0.010523431427746322,0.00011074260901447902,0.0678242614843632,0.0015664974807275804,2.453914357125856e-06,0.20686845314644015,0.0021434873223731437,4.59453790117439e-06,0.35502790495036257,0.031258559887995876,0.0009770975662714248,0.09584069654521951,0.00472609573133444,2.233598086173761e-05,0.01669417557643519,0.0010869580716471553,1.1814778495189026e-06,0.9065016845514172,0.010523431427746333,0.00011074260901447922,0.06154639067519017,0.0006320637053841185,3.9950452766390173e-07,0.6449720950496374,0.031258559887995904,0.0009770975662714266,0.1018970045409295,0.01401998532942022,0.00019655998863715824,0.6194131913835766,0.006487780563640461,4.209129664195094e-05,8.489101075103325e-08,4.992361349999906e-09,2.4923671848972882e-17,59.46849060058594,1.319689507352506,1.7415803958162996,0.04723911285400391,0.0027780635165194027,7.71763690181615e-06
