rank,descripcion_experimento,scaler,use_pca,n_components_pca,rebalanceo,rebalanceo_short,model,model_display_name,n,param_id,params,param_alpha,param_hidden_layer_sizes,B_accuracy_mean,B_accuracy_std,B_accuracy_var,B_precision_weighted_mean,B_precision_weighted_std,B_precision_weighted_var,B_recall_weighted_mean,B_recall_weighted_std,B_recall_weighted_var,B_f1_weighted_mean,B_f1_weighted_std,B_f1_weighted_var,B_precision_macro_mean,B_precision_macro_std,B_precision_macro_var,B_recall_macro_mean,B_recall_macro_std,B_recall_macro_var,B_f1_macro_mean,B_f1_macro_std,B_f1_macro_var,B_fpr_weighted_mean,B_fpr_weighted_std,B_fpr_weighted_var,B_fnr_weighted_mean,B_fnr_weighted_std,B_fnr_weighted_var,B_fpr_macro_mean,B_fpr_macro_std,B_fpr_macro_var,B_fnr_macro_mean,B_fnr_macro_std,B_fnr_macro_var,B_mcc_mean,B_mcc_std,B_mcc_var,B_roc_auc_mean,B_roc_auc_std,B_roc_auc_var,B_detection_latency_seconds_mean,B_detection_latency_seconds_std,B_detection_latency_seconds_var,B_fit_time_mean,B_fit_time_std,B_fit_time_var,B_score_time_mean,B_score_time_std,B_score_time_var
1,RobustScaler + PCA + RUS_SMOTE_ENN + mlp,RobustScaler,True,3,RUS_SMOTE_ENN,RUS_SMOTE_ENN,mlp,MLPClassifier,10000,4,"{""alpha"": 0.001, ""hidden_layer_sizes"": [50]}",0.001,"(50,)",0.2506511377865496,0.2977884748714556,0.08867797576626753,0.832926726956576,0.057748902822594095,0.003334935777213416,0.2506511377865496,0.2977884748714556,0.08867797576626753,0.29041100113297674,0.2628102542302421,0.0690692297285645,0.1533583528453903,0.0223220318196244,0.0004982731045563241,0.20201456353443903,0.012830946942090781,0.00016463319943074876,0.09973878618235514,0.026586147013295036,0.0007068232130125366,0.15604326935595317,0.293388155780838,0.08607660995248125,0.7493488622134504,0.29778847487145554,0.08867797576626751,0.06035947543796024,0.0016285464554858585,2.6521635576755533e-06,0.797985436465561,0.012830946942090735,0.00016463319943074757,0.12894595598040795,0.029284247758381208,0.0008575671667742548,0.537135486495709,0.04863546895604153,0.0023654088405740794,2.437944128417591e-07,2.2549173239712714e-08,5.08465213794576e-16,4.084743070602417,1.9330869068460534,3.736824989419642,0.09832906723022461,0.009094751544264031,8.271450565189298e-05
2,RobustScaler + PCA + RUS_SMOTE_ENN + mlp,RobustScaler,True,3,RUS_SMOTE_ENN,RUS_SMOTE_ENN,mlp,MLPClassifier,10000,5,"{""alpha"": 0.001, ""hidden_layer_sizes"": [100]}",0.001,"(100,)",0.1147631997545397,0.048166363795705006,0.0023199986013002017,0.8592244334492978,0.01568073270187492,0.00024588537806764945,0.1147631997545397,0.048166363795705006,0.0023199986013002017,0.15725898825658263,0.03778573844330331,0.0014277620297057296,0.1397270143567033,0.012305456237974225,0.00015142425322469874,0.21196412543433157,0.014838849361788474,0.00022019145038185017,0.08635359504708603,0.01273703990898155,0.00016223218564298875,0.019886320850464385,0.024239456067830626,0.000587551230464291,0.8852368002454603,0.04816636379570499,0.0023199986013002004,0.060341541406394986,0.0017476916081169019,3.054425957082242e-06,0.7880358745656684,0.014838849361788491,0.0002201914503818507,0.126356226942113,0.06101187657581929,0.0037224490833030065,0.5781555352917842,0.06327072820101547,0.004003185047086774,3.2770510825506e-07,2.0880578049896763e-08,4.3599853969783053e-16,4.070179128646851,1.5591007298663566,2.430795085869806,0.1321725845336914,0.008421798427280875,7.092668874975061e-05
3,RobustScaler + PCA + RUS_SMOTE_ENN + mlp,RobustScaler,True,3,RUS_SMOTE_ENN,RUS_SMOTE_ENN,mlp,MLPClassifier,10000,2,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100]}",0.0001,"(100,)",0.11492735293262672,0.015716884088481375,0.000247020445450759,0.8601119148776769,0.031305929133342625,0.0009800611989018706,0.11492735293262672,0.015716884088481375,0.000247020445450759,0.16531832839606492,0.015106403235315393,0.0002282034187079474,0.14102204541146274,0.025354071105586493,0.0006428289216271358,0.20734586353043535,0.03689701625370802,0.0013613898084263937,0.07845511507611773,0.01600995276008164,0.0002563185873800457,0.021006712530301765,0.014783575031303594,0.00021855409070618302,0.8850726470673733,0.015716884088481337,0.00024702044545075785,0.06040529063984501,0.0013249827708014927,1.755579342920801e-06,0.7926541364695646,0.03689701625370803,0.0013613898084263948,0.11615350314308275,0.03450459485363889,0.0011905670660137633,0.5313212421226764,0.0611609640170166,0.0037406635194907997,3.3602747912674703e-07,3.597107884666208e-08,1.2939185133927803e-15,5.883819484710694,1.7876267201836598,3.1956092907145885,0.1355292320251465,0.014508226733844035,0.00021048864296062674
4,RobustScaler + PCA + RUS_SMOTE_ENN + mlp,RobustScaler,True,3,RUS_SMOTE_ENN,RUS_SMOTE_ENN,mlp,MLPClassifier,10000,1,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [50]}",0.0001,"(50,)",0.0992140823221264,0.009138184700979933,8.350641962922371e-05,0.8419958125729643,0.04048644608884758,0.0016391523169051615,0.0992140823221264,0.009138184700979933,8.350641962922371e-05,0.15197021182526896,0.017386459443447154,0.0003022889719786327,0.1325439728921814,0.021872340531955414,0.0004783992803458197,0.18427501158152582,0.0228853191518502,0.0005237378326820415,0.07128676830810801,0.016895177155083263,0.0002854470111016474,0.02189648831803658,0.018773526242581103,0.00035244528758088137,0.9007859176778735,0.009138184700979969,8.350641962922436e-05,0.061512160399727345,0.001197820520385653,1.4347739990569569e-06,0.8157249884184742,0.022885319151850193,0.0005237378326820413,0.09547876550129461,0.025153850065156573,0.0006327161731003773,0.5381676278207499,0.02803415723467169,0.0007859139718582951,2.645043911500675e-07,2.5583306746598394e-08,6.54505584090547e-16,3.367362880706787,0.9420907792767451,0.8875350363982648,0.1066819667816162,0.010318355074901555,0.00010646845145174667
5,RobustScaler + PCA + RUS_SMOTE_ENN + mlp,RobustScaler,True,3,RUS_SMOTE_ENN,RUS_SMOTE_ENN,mlp,MLPClassifier,10000,3,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100, 50]}",0.0001,"(100, 50)",0.0968205004194791,0.005778181672854941,3.338738344451673e-05,0.8588129407823418,0.02154407398788839,0.00046414712399560907,0.0968205004194791,0.005778181672854941,3.338738344451673e-05,0.13263190315082088,0.026770301354990023,0.0007166490346369808,0.13399426766690975,0.015015068676157069,0.0002254522873497132,0.17903777554103342,0.010153174222502658,0.00010308694679249245,0.06795116806484888,0.007249157091258581,5.2550278533744575e-05,0.022033031246482242,0.01543127440460264,0.00023812422975014457,0.903179499580521,0.005778181672854944,3.3387383444516757e-05,0.06168083538846687,0.0009766297022364427,9.538055752904426e-07,0.8209622244589665,0.010153174222502639,0.00010308694679249206,0.08638180645412585,0.017151160190873625,0.00029416229589300817,0.5535139483962561,0.011310016266326854,0.00012791646794457802,3.4712440200143554e-07,1.6770966170340517e-08,2.8126530628670603e-16,4.698633432388306,1.2508292475425176,1.5645738065077808,0.14000492095947265,0.006764189153917848,4.575425490997986e-05
6,RobustScaler + PCA + RUS_SMOTE_ENN + mlp,RobustScaler,True,3,RUS_SMOTE_ENN,RUS_SMOTE_ENN,mlp,MLPClassifier,10000,6,"{""alpha"": 0.001, ""hidden_layer_sizes"": [100, 50]}",0.001,"(100, 50)",0.09387155088931302,0.03457418887089546,0.0011953745360803515,0.8511035174986464,0.0042416368471698196,1.7991483143268724e-05,0.09387155088931302,0.03457418887089546,0.0011953745360803515,0.11905064524924062,0.03704329515877016,0.001372205716219765,0.1252095191716473,0.022496483409770614,0.0005060917658060844,0.17212417384968065,0.012107745051649984,0.00014659749023575468,0.061317437573506474,0.015822126229365855,0.000250339678417987,0.026808807462884443,0.014598462424746848,0.00021311510516674564,0.9061284491106869,0.03457418887089546,0.0011953745360803515,0.06219581710490476,0.001430930506820146,2.0475621153485596e-06,0.8278758261503192,0.012107745051649955,0.00014659749023575395,0.07654549539170682,0.019152175223516376,0.00036680581579227455,0.5447094003426864,0.015668430341172497,0.0002454997093561749,3.5110013790512176e-07,5.271849856888211e-08,2.779240091357225e-15,5.108750581741333,1.1917937338047355,1.420372303936233,0.14160842895507814,0.02126266776047913,0.00045210104029251856
