dataset,experiment,descripcion_experimento,model_family,model,model_display_name,scaler,use_pca,n_components_pca,rebalanceo,rebalanceo_short,n,selection_metric,selection_column,best_param_id,best_params,param_id,params,param_C,param_alpha,param_hidden_layer_sizes,param_metric,param_n_neighbors,B_accuracy_mean,B_accuracy_std,B_detection_latency_seconds_mean,B_detection_latency_seconds_std,B_f1_macro_mean,B_f1_macro_std,B_f1_weighted_mean,B_f1_weighted_std,B_fit_time_mean,B_fit_time_std,B_fnr_macro_mean,B_fnr_macro_std,B_fnr_weighted_mean,B_fnr_weighted_std,B_fpr_macro_mean,B_fpr_macro_std,B_fpr_weighted_mean,B_fpr_weighted_std,B_mcc_mean,B_mcc_std,B_precision_macro_mean,B_precision_macro_std,B_precision_weighted_mean,B_precision_weighted_std,B_recall_macro_mean,B_recall_macro_std,B_recall_weighted_mean,B_recall_weighted_std,B_roc_auc_mean,B_roc_auc_std,B_score_time_mean,B_score_time_std,source_file
CIC17,C__StandardScaler_no_pca_RUS_SMOTE_ENN_logreg,StandardScaler + sin PCA + RUS_SMOTE_ENN + logreg,logreg,logreg,LogisticRegression,StandardScaler,False,,RUS_SMOTE_ENN,RUS_SMOTE_ENN,10000,f1_macro,B_f1_macro_mean,4,"{""C"": 10}",4,"{""C"": 10}",10.0,,,,,0.8421963588884441,0.0130146656099985,7.200715511288552e-08,1.4950024386702413e-08,0.4444097264309645,0.0055976497656133,0.8909473769331943,0.0077013892601964,46.13313736915588,3.337847464137496,0.1022508210675449,0.0152202963883028,0.1578036411115557,0.0130146656099985,0.0107226098605078,0.0008541318693369,0.0030355067960615,0.0003144518070171,0.6803277727119224,0.0164827317822691,0.3701531806551267,0.0053977894945357,0.9634649292033476,0.0011724464386395,0.8977491789324551,0.0152202963883028,0.8421963588884441,0.0130146656099985,0.9884234065172256,0.0006149854253321,0.0290424823760986,0.0060297220639555,05_results/CIC17/fase_C_no_pca/logreg/C__StandardScaler_no_pca_RUS_SMOTE_ENN_logreg/reports/CIC17__C__StandardScaler_no_pca_RUS_SMOTE_ENN_logreg__cv_summary.csv
CIC17,C__RobustScaler_no_pca_NM_SMOTE_mlp,RobustScaler + sin PCA + NearMiss_SMOTE + mlp,mlp,mlp,MLPClassifier,RobustScaler,False,,NearMiss_SMOTE,NM_SMOTE,10000,f1_macro,B_f1_macro_mean,2,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100]}",2,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100]}",,0.0001,"(100,)",,,0.1428857902617173,0.036323790069446,3.939699169427494e-07,2.0621626977690606e-08,0.1787466445279132,0.0366894102247557,0.2064293132177005,0.0582915208532768,13.738668966293336,1.5664556927069184,0.3117954950982037,0.0280953664142984,0.8571142097382827,0.036323790069446,0.0577461442036032,0.0025831243492914,0.0090779533157663,0.0093084409832029,0.1395000952451358,0.0193936685931976,0.2600211129959998,0.0377922615309579,0.9302164077681414,0.0169742339424963,0.6882045049017962,0.0280953664142985,0.1428857902617173,0.036323790069446,0.5942617373709673,0.0146490182236852,0.1588990211486816,0.0083173096840993,05_results/CIC17/fase_C_no_pca/mlp/C__RobustScaler_no_pca_NM_SMOTE_mlp/reports/CIC17__C__RobustScaler_no_pca_NM_SMOTE_mlp__cv_summary.csv
CIC17,C__RobustScaler_no_pca_NM_SMOTE_ENN_mlp,RobustScaler + sin PCA + NearMiss_SMOTE_ENN + mlp,mlp,mlp,MLPClassifier,RobustScaler,False,,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,10000,f1_macro,B_f1_macro_mean,2,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100]}",2,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100]}",,0.0001,"(100,)",,,0.1803159105020106,0.0641716313304498,3.966996365650405e-07,1.6204830087566157e-08,0.2260327959842576,0.0336680688886741,0.2633736443470131,0.0960859140993523,12.281598091125488,4.483110128902863,0.3040338619726135,0.0309887672118017,0.8196840894979894,0.0641716313304498,0.0549159098462558,0.0042534013209078,0.0040545581958485,0.0016454611356908,0.1594013721865089,0.0212804395338926,0.2958087868115721,0.0427476751036878,0.9456614365668204,0.0153128164046119,0.6959661380273865,0.0309887672118017,0.1803159105020106,0.0641716313304498,0.6097256663239952,0.0303207993059105,0.1599999904632568,0.0065358240160308,05_results/CIC17/fase_C_no_pca/mlp/C__RobustScaler_no_pca_NM_SMOTE_ENN_mlp/reports/CIC17__C__RobustScaler_no_pca_NM_SMOTE_ENN_mlp__cv_summary.csv
CIC17,C__RobustScaler_no_pca_NONE_mlp,RobustScaler + sin PCA + NONE + mlp,mlp,mlp,MLPClassifier,RobustScaler,False,,NONE,NONE,10000,f1_macro,B_f1_macro_mean,2,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100]}",2,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100]}",,0.0001,"(100,)",,,0.9816769388992096,0.0004130353937057,2.9009184424196464e-07,3.792082284905593e-09,0.6232951587793831,0.0384251864706079,0.9795551606799172,0.0004530998468781,88.9504192829132,26.58479940123835,0.40717287255092,0.0387601585681123,0.0183230611007905,0.0004130353937057,0.0067944087253678,0.0001463166500733,0.0835930697797265,0.0017936031078244,0.9378750940654996,0.0014359913382005,0.796773002914583,0.0717027582621604,0.9815447738067176,0.0006429057377684,0.5928271274490801,0.0387601585681123,0.9816769388992096,0.0004130353937057,0.9922757843063842,0.0004094662935916,0.1170021057128906,0.001529488769439,05_results/CIC17/fase_C_no_pca/mlp/C__RobustScaler_no_pca_NONE_mlp/reports/CIC17__C__RobustScaler_no_pca_NONE_mlp__cv_summary.csv
CIC17,C__RobustScaler_no_pca_RUS_SMOTE_mlp,RobustScaler + sin PCA + RUS_SMOTE + mlp,mlp,mlp,MLPClassifier,RobustScaler,False,,RUS_SMOTE,RUS_SMOTE,10000,f1_macro,B_f1_macro_mean,2,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100]}",2,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100]}",,0.0001,"(100,)",,,0.8259663585584256,0.0384370266848849,3.579331967388319e-07,2.772875869578784e-08,0.4090679473837388,0.0543656005326677,0.8780212152167184,0.025685586874825,12.254561376571656,5.222484952664932,0.1688111663232954,0.0150711065139016,0.1740336414415742,0.0384370266848849,0.0121010275849863,0.0025361351566262,0.0074817723332203,0.0020045887397345,0.6503455170824946,0.0508705975428381,0.3573460797664616,0.0549627464509189,0.9575004824290544,0.0065496473654387,0.8311888336767046,0.0150711065139017,0.8259663585584256,0.0384370266848849,0.9271278132121528,0.0228492944861145,0.1443644046783447,0.011183714676774,05_results/CIC17/fase_C_no_pca/mlp/C__RobustScaler_no_pca_RUS_SMOTE_mlp/reports/CIC17__C__RobustScaler_no_pca_RUS_SMOTE_mlp__cv_summary.csv
CIC17,C__RobustScaler_no_pca_RUS_SMOTE_ENN_mlp,RobustScaler + sin PCA + RUS_SMOTE_ENN + mlp,mlp,mlp,MLPClassifier,RobustScaler,False,,RUS_SMOTE_ENN,RUS_SMOTE_ENN,10000,f1_macro,B_f1_macro_mean,2,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100]}",2,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100]}",,0.0001,"(100,)",,,0.8433324082298446,0.0289411299247085,3.2500390277221244e-07,1.0081884802017431e-08,0.4235878859091155,0.0402396525096896,0.891192033555504,0.0212797444308425,11.696925258636474,2.2035394121877983,0.1450567527255883,0.0247040727316388,0.1566675917701554,0.0289411299247084,0.0109750391943849,0.002013016957747,0.0079579961456187,0.0014182531414171,0.6715258053581858,0.039572273544191,0.3720715837194176,0.0328406807808592,0.9619078444082902,0.0070364336395057,0.8549432472744117,0.0247040727316388,0.8433324082298446,0.0289411299247085,0.938131749464766,0.0180254579750065,0.1310831069946289,0.0040662189992093,05_results/CIC17/fase_C_no_pca/mlp/C__RobustScaler_no_pca_RUS_SMOTE_ENN_mlp/reports/CIC17__C__RobustScaler_no_pca_RUS_SMOTE_ENN_mlp__cv_summary.csv
CIC17,C__StandardScaler_no_pca_NM_SMOTE_mlp,StandardScaler + sin PCA + NearMiss_SMOTE + mlp,mlp,mlp,MLPClassifier,StandardScaler,False,,NearMiss_SMOTE,NM_SMOTE,10000,f1_macro,B_f1_macro_mean,5,"{""alpha"": 0.001, ""hidden_layer_sizes"": [100]}",5,"{""alpha"": 0.001, ""hidden_layer_sizes"": [100]}",,0.001,"(100,)",,,0.1844122835498579,0.0124556479415229,2.8207165130932425e-07,2.284354537073015e-09,0.2258811737507933,0.039271192150635,0.2403776607868421,0.0145476766152466,9.085444450378418,2.101502011537016,0.2463694951257811,0.0261511427762474,0.815587716450142,0.0124556479415228,0.0606410347544978,0.0010048376204429,0.0940278048673259,0.0034917738879642,0.1844727320075168,0.0152615244277423,0.2724937102950295,0.043995822024657,0.8050612833222633,0.0202593329283573,0.7536305048742189,0.0261511427762474,0.1844122835498579,0.0124556479415229,0.5976163895603511,0.0668529583977929,0.1137673377990722,0.0009212243288246,05_results/CIC17/fase_C_no_pca/mlp/C__StandardScaler_no_pca_NM_SMOTE_mlp/reports/CIC17__C__StandardScaler_no_pca_NM_SMOTE_mlp__cv_summary.csv
CIC17,C__StandardScaler_no_pca_NM_SMOTE_ENN_mlp,StandardScaler + sin PCA + NearMiss_SMOTE_ENN + mlp,mlp,mlp,MLPClassifier,StandardScaler,False,,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,10000,f1_macro,B_f1_macro_mean,5,"{""alpha"": 0.001, ""hidden_layer_sizes"": [100]}",5,"{""alpha"": 0.001, ""hidden_layer_sizes"": [100]}",,0.001,"(100,)",,,0.1818644816054294,0.011222413394361,2.894460985640001e-07,3.175105050475685e-09,0.219417692867509,0.0100040086952172,0.2398831840983291,0.0140967249376041,8.602012157440186,1.7789040795034148,0.2457475292558756,0.0164966183730084,0.8181355183945704,0.011222413394361,0.0605849818456154,0.0009990037344483,0.0906392092896614,0.0058662010668904,0.1961489782631753,0.0151855464855295,0.2597748486591227,0.0084304226869629,0.802841048735918,0.0198625533795251,0.7542524707441244,0.0164966183730084,0.1818644816054294,0.011222413394361,0.5679425348429797,0.0648041654161527,0.11674165725708,0.0012805051713566,05_results/CIC17/fase_C_no_pca/mlp/C__StandardScaler_no_pca_NM_SMOTE_ENN_mlp/reports/CIC17__C__StandardScaler_no_pca_NM_SMOTE_ENN_mlp__cv_summary.csv
CIC17,C__StandardScaler_no_pca_NONE_mlp,StandardScaler + sin PCA + NONE + mlp,mlp,mlp,MLPClassifier,StandardScaler,False,,NONE,NONE,10000,f1_macro,B_f1_macro_mean,6,"{""alpha"": 0.001, ""hidden_layer_sizes"": [100, 50]}",6,"{""alpha"": 0.001, ""hidden_layer_sizes"": [100, 50]}",,0.001,"(100, 50)",,,0.9967416080900848,0.0001513704923055,3.455219736860616e-07,4.938250509652947e-09,0.7155772138979299,0.0112574311067314,0.9962864734925828,0.0001566996238049,178.04081783294677,31.19353538358486,0.3063143996873012,0.0175474180215894,0.0032583919099151,0.0001513704923055,0.0009124908087172,1.1616551226763255e-05,0.0104289702208429,0.0003008286044501,0.9891384498339728,0.0005006084626583,0.8586408041114438,0.0458210512232964,0.9966468746212744,0.0001801485440042,0.6936856003126989,0.0175474180215894,0.9967416080900848,0.0001513704923055,0.9998340805758408,1.846162841823572e-05,0.1393586158752441,0.001991589400609,05_results/CIC17/fase_C_no_pca/mlp/C__StandardScaler_no_pca_NONE_mlp/reports/CIC17__C__StandardScaler_no_pca_NONE_mlp__cv_summary.csv
CIC17,C__StandardScaler_no_pca_RUS_SMOTE_mlp,StandardScaler + sin PCA + RUS_SMOTE + mlp,mlp,mlp,MLPClassifier,StandardScaler,False,,RUS_SMOTE,RUS_SMOTE,10000,f1_macro,B_f1_macro_mean,3,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100, 50]}",3,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100, 50]}",,0.0001,"(100, 50)",,,0.9467648894466578,0.0029252938369412,4.008614287570136e-07,2.7471127642459792e-08,0.5691527660229854,0.0151636254095067,0.9571585583061732,0.0022599687228512,19.20686182975769,5.95905799991884,0.1145453424596726,0.0221867488374547,0.0532351105533422,0.0029252938369412,0.0037093964341217,0.0001824092535091,0.0024058359584846,0.0004653899185567,0.8547264458612007,0.006511463142026,0.4968250518630094,0.0149169834938458,0.9731183746721438,0.0014749448135629,0.8854546575403273,0.0221867488374546,0.9467648894466578,0.0029252938369412,0.9964298252259812,0.0003752347505607,0.1616785526275634,0.011079766982362,05_results/CIC17/fase_C_no_pca/mlp/C__StandardScaler_no_pca_RUS_SMOTE_mlp/reports/CIC17__C__StandardScaler_no_pca_RUS_SMOTE_mlp__cv_summary.csv
CIC17,C__StandardScaler_no_pca_RUS_SMOTE_ENN_mlp,StandardScaler + sin PCA + RUS_SMOTE_ENN + mlp,mlp,mlp,MLPClassifier,StandardScaler,False,,RUS_SMOTE_ENN,RUS_SMOTE_ENN,10000,f1_macro,B_f1_macro_mean,6,"{""alpha"": 0.001, ""hidden_layer_sizes"": [100, 50]}",6,"{""alpha"": 0.001, ""hidden_layer_sizes"": [100, 50]}",,0.001,"(100, 50)",,,0.94882227311046,0.0058090365375703,4.025299462138303e-07,2.43758191381083e-08,0.5813578351389372,0.0241857324412708,0.9586018352448736,0.0044804908199315,22.83169741630554,4.720489228545925,0.1087091995963583,0.0287089638127592,0.0511777268895401,0.0058090365375703,0.0036090681470254,0.0003992828218477,0.0029582953158416,0.000546742980211,0.8592798869037566,0.0130158548984062,0.5132345531197045,0.0253169879182034,0.9736140214717596,0.002642566351619,0.8912908004036417,0.0287089638127592,0.94882227311046,0.0058090365375703,0.9966655643750124,0.0003536445580845,0.1623515129089355,0.0098313469730873,05_results/CIC17/fase_C_no_pca/mlp/C__StandardScaler_no_pca_RUS_SMOTE_ENN_mlp/reports/CIC17__C__StandardScaler_no_pca_RUS_SMOTE_ENN_mlp__cv_summary.csv
