rank,descripcion_experimento,scaler,use_pca,n_components_pca,rebalanceo,rebalanceo_short,model,model_display_name,n,param_id,params,param_C,B_accuracy_mean,B_accuracy_std,B_accuracy_var,B_precision_weighted_mean,B_precision_weighted_std,B_precision_weighted_var,B_recall_weighted_mean,B_recall_weighted_std,B_recall_weighted_var,B_f1_weighted_mean,B_f1_weighted_std,B_f1_weighted_var,B_precision_macro_mean,B_precision_macro_std,B_precision_macro_var,B_recall_macro_mean,B_recall_macro_std,B_recall_macro_var,B_f1_macro_mean,B_f1_macro_std,B_f1_macro_var,B_fpr_weighted_mean,B_fpr_weighted_std,B_fpr_weighted_var,B_fnr_weighted_mean,B_fnr_weighted_std,B_fnr_weighted_var,B_fpr_macro_mean,B_fpr_macro_std,B_fpr_macro_var,B_fnr_macro_mean,B_fnr_macro_std,B_fnr_macro_var,B_mcc_mean,B_mcc_std,B_mcc_var,B_roc_auc_mean,B_roc_auc_std,B_roc_auc_var,B_detection_latency_seconds_mean,B_detection_latency_seconds_std,B_detection_latency_seconds_var,B_fit_time_mean,B_fit_time_std,B_fit_time_var,B_score_time_mean,B_score_time_std,B_score_time_var
1,StandardScaler + PCA + NONE + logreg,StandardScaler,True,44,NONE,NONE,logreg,LogisticRegression,10000,3,"{""C"": 1}",1.0,0.9599991228528074,0.00040027242812020706,1.602180167132463e-07,0.9602134075208927,0.0003948583448157526,1.559131124706358e-07,0.9599991228528074,0.00040027242812020706,1.602180167132463e-07,0.9600331102213456,0.00039223780219582206,1.5385049347140883e-07,0.7407218146519222,0.013675517566976693,0.00018701978072468812,0.6729423673580713,0.006992759253273015,4.889868197423537e-05,0.6927873281836042,0.008342868613902902,6.960345670884613e-05,0.03083125103194371,0.00040750461993118906,1.6606001526526287e-07,0.04000087714719268,0.00040027242812019204,1.602180167132343e-07,0.004722141878609092,5.02781566702803e-05,2.5278930381612515e-09,0.32705763264192855,0.006992759253273027,4.889868197423554e-05,0.9322651091098546,0.0006772827077855987,4.587118662653927e-07,0.9963854424751771,5.682385972808715e-05,3.2289510343973247e-09,5.7992493182498644e-08,6.056802129913061e-09,3.6684852040919395e-17,745.1142616748809,6.8567093349841794,47.014462904459194,0.032270956039428714,0.003370426922798995,1.1359777641928303e-05
2,StandardScaler + PCA + NONE + logreg,StandardScaler,True,44,NONE,NONE,logreg,LogisticRegression,10000,4,"{""C"": 10}",10.0,0.9606338407847677,0.0002507459750441437,6.287354400083835e-08,0.960870039893063,0.00026250868992829207,6.891081228786818e-08,0.9606338407847677,0.0002507459750441437,6.287354400083835e-08,0.9606871179468339,0.0002507138578367615,6.285743851139186e-08,0.7247623330744426,0.0073538003872894225,5.4078380136098055e-05,0.6720652014733519,0.005943578152609647,3.53261212561787e-05,0.6882119143469241,0.006402588693068869,4.0993141972613325e-05,0.03010154940473676,0.0003206430490570007,1.0281196490857017e-07,0.03936615921523237,0.00025074597504414284,6.28735440008379e-08,0.004631180574664609,3.4116061054827653e-05,1.163905621896728e-09,0.32793479852664803,0.005943578152609605,3.532612125617821e-05,0.9333595206572911,0.0004242818562281164,1.80015093524376e-07,0.9964556892832845,4.531865738401555e-05,2.0537807070897875e-09,5.4391716790029195e-08,1.6069370638742263e-09,2.5822467272527192e-18,739.958901834488,4.1846123244048785,17.5109803055612,0.03026723861694336,0.0008941931639262218,7.99581414412387e-07
3,StandardScaler + PCA + NONE + logreg,StandardScaler,True,44,NONE,NONE,logreg,LogisticRegression,10000,2,"{""C"": 0.1}",0.1,0.9579084359358285,0.0003315734396122949,1.0994094585632818e-07,0.9581343257137178,0.00033333448136340505,1.1111187646581024e-07,0.9579084359358285,0.0003315734396122949,1.0994094585632818e-07,0.9579185585408675,0.0003256059665830348,1.0601924547447235e-07,0.744902494859759,0.016325348703686,0.00026651701029694214,0.6542187112116723,0.008319452469009966,6.921328938411602e-05,0.6749945822034176,0.010791439912083152,0.00011645517537610121,0.03363453099121207,0.00043483014725141715,1.8907725695868912e-07,0.04209156406417151,0.0003315734396122714,1.0994094585631257e-07,0.005048406337025572,4.810707598855226e-05,2.3142907601683415e-09,0.3457812887883277,0.00831945246900999,6.921328938411642e-05,0.9286349926101257,0.0005685805419602173,3.232838326957745e-07,0.9961270011901615,6.19013808274219e-05,3.831780948341516e-09,6.091195199594297e-08,4.5407056291288555e-09,2.0618007610402477e-17,741.807105922699,6.4419010182439695,41.49808872885269,0.03389554023742676,0.002526762550068101,6.384528984426653e-06
4,StandardScaler + PCA + NONE + logreg,StandardScaler,True,44,NONE,NONE,logreg,LogisticRegression,10000,1,"{""C"": 0.01}",0.01,0.9552534754059602,0.00037979717480827145,1.442458939923447e-07,0.955265575511566,0.0003677804126935101,1.3526243196100863e-07,0.9552534754059602,0.00037979717480827145,1.442458939923447e-07,0.9551658139012329,0.00036752984968762425,1.3507819041140768e-07,0.6276528002268356,0.010013867265280453,0.0001002775376066554,0.6158485226615495,0.0004571812875598895,2.090147296949184e-07,0.6194772709229528,0.000729106618973266,5.315964618306272e-07,0.03590795746329879,0.0003702204101332812,1.3706315207925495e-07,0.04474652459403988,0.0003797971748082825,1.4424589399235309e-07,0.005376965470489245,4.8178515733405945e-05,2.321169378274044e-09,0.3841514773384505,0.00045718128755987064,2.090147296949011e-07,0.9241245847557498,0.0006439749199898183,4.1470369757589293e-07,0.9952839888002304,5.116439167016129e-05,2.6177949749776697e-09,5.580011516544285e-08,3.516099152503577e-09,1.2362953250236374e-17,534.0851156234742,25.351975703789982,642.7226720855576,0.031050968170166015,0.00195661214494399,3.8283310857423205e-06
