rank,descripcion_experimento,scaler,use_pca,n_components_pca,rebalanceo,rebalanceo_short,model,model_display_name,n,param_id,params,param_alpha,param_hidden_layer_sizes,B_accuracy_mean,B_accuracy_std,B_accuracy_var,B_precision_weighted_mean,B_precision_weighted_std,B_precision_weighted_var,B_recall_weighted_mean,B_recall_weighted_std,B_recall_weighted_var,B_f1_weighted_mean,B_f1_weighted_std,B_f1_weighted_var,B_precision_macro_mean,B_precision_macro_std,B_precision_macro_var,B_recall_macro_mean,B_recall_macro_std,B_recall_macro_var,B_f1_macro_mean,B_f1_macro_std,B_f1_macro_var,B_fpr_weighted_mean,B_fpr_weighted_std,B_fpr_weighted_var,B_fnr_weighted_mean,B_fnr_weighted_std,B_fnr_weighted_var,B_fpr_macro_mean,B_fpr_macro_std,B_fpr_macro_var,B_fnr_macro_mean,B_fnr_macro_std,B_fnr_macro_var,B_mcc_mean,B_mcc_std,B_mcc_var,B_roc_auc_mean,B_roc_auc_std,B_roc_auc_var,B_detection_latency_seconds_mean,B_detection_latency_seconds_std,B_detection_latency_seconds_var,B_fit_time_mean,B_fit_time_std,B_fit_time_var,B_score_time_mean,B_score_time_std,B_score_time_var
1,RobustScaler + sin PCA + RUS_SMOTE + mlp,RobustScaler,False,,RUS_SMOTE,RUS_SMOTE,mlp,MLPClassifier,10000,2,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100]}",0.0001,"(100,)",0.8259663585584256,0.03843702668488491,0.0014774050203745547,0.9575004824290545,0.006549647365438752,4.2897880611598784e-05,0.8259663585584256,0.03843702668488491,0.0014774050203745547,0.8780212152167184,0.025685586874825042,0.0006597493731041845,0.35734607976646166,0.05496274645091899,0.0030209034974280078,0.8311888336767046,0.015071106513901736,0.00022713825155337133,0.40906794738373886,0.054365600532667736,0.002955618521277603,0.007481772333220388,0.0020045887397345283,4.018376015470464e-06,0.17403364144157424,0.038437026684884947,0.0014774050203745577,0.012101027584986308,0.002536135156626227,6.431981532675536e-06,0.1688111663232954,0.015071106513901632,0.0002271382515533682,0.6503455170824946,0.050870597542838125,0.0025878176943654086,0.9271278132121529,0.022849294486114596,0.0005220902585131869,3.579331967388319e-07,2.7728758695787838e-08,7.688840588092296e-16,12.254561376571655,5.2224849526649315,27.27434908081163,0.14436440467834472,0.011183714676774086,0.0001250754739714921
2,RobustScaler + sin PCA + RUS_SMOTE + mlp,RobustScaler,False,,RUS_SMOTE,RUS_SMOTE,mlp,MLPClassifier,10000,5,"{""alpha"": 0.001, ""hidden_layer_sizes"": [100]}",0.001,"(100,)",0.8346600463113344,0.01816261476301677,0.0003298805750297546,0.9555753680542894,0.003791795707358103,1.4377714686339336e-05,0.8346600463113344,0.01816261476301677,0.0003298805750297546,0.8820512212389854,0.00985897239850767,9.719933675453607e-05,0.34595868043999733,0.025096752882098457,0.0006298470052251172,0.8522729514160469,0.028485085173021465,0.0008114000773142873,0.40547427493822336,0.01940370440941272,0.00037650374480786256,0.005817252133200583,0.0018199462487074342,3.3122043481842618e-06,0.16533995368866566,0.01816261476301676,0.0003298805750297544,0.011410480388124413,0.0011009787510704657,1.2121542103086825e-06,0.14772704858395308,0.0284850851730215,0.0008114000773142894,0.6624513650568808,0.024313486957156735,0.0005911456480158307,0.9342148909424626,0.014551662120457103,0.00021175087046794612,4.0023742577917107e-07,2.250766757064855e-08,5.065950994708244e-16,14.139171075820922,3.6546952276201408,13.356797206789434,0.16142687797546387,0.009077916618111267,8.240857012538072e-05
3,RobustScaler + sin PCA + RUS_SMOTE + mlp,RobustScaler,False,,RUS_SMOTE,RUS_SMOTE,mlp,MLPClassifier,10000,1,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [50]}",0.0001,"(50,)",0.8040993111210846,0.052183317925940775,0.002723098669759812,0.955990077583551,0.006965190697673698,4.851388145496022e-05,0.8040993111210846,0.052183317925940775,0.002723098669759812,0.8632145192004298,0.03676245859640809,0.001351478362052619,0.3281203378868433,0.027614564821453608,0.0007625641902782632,0.851147993325856,0.022594733225257936,0.0005105219695205748,0.3787858444967991,0.028385881470321738,0.000805758266847155,0.010365062424412048,0.003985713772134241,1.588591427338056e-05,0.19590068887891549,0.05218331792594074,0.002723098669759808,0.013751050086888506,0.003290486766784322,1.082730316238274e-05,0.14885200667414392,0.02259473322525792,0.0005105219695205741,0.626423205424196,0.06216926302433145,0.003865017264988505,0.9259587177945676,0.021406567067459026,0.00045824111361362124,2.7019232445242123e-07,3.005007989237054e-08,9.030073015378521e-16,8.612236785888673,1.8439330313653417,3.400089024160178,0.10897607803344726,0.012120062705860664,0.00014689591999399453
4,RobustScaler + sin PCA + RUS_SMOTE + mlp,RobustScaler,False,,RUS_SMOTE,RUS_SMOTE,mlp,MLPClassifier,10000,4,"{""alpha"": 0.001, ""hidden_layer_sizes"": [50]}",0.001,"(50,)",0.8082924171375895,0.018310000461313806,0.00033525611689331185,0.9505873420111083,0.004705939436943637,2.2145865984181397e-05,0.8082924171375895,0.018310000461313806,0.00033525611689331185,0.8622834757800153,0.011875071578570264,0.00014101732499616725,0.30680826400015626,0.01724183943248331,0.0002972810270155365,0.8463983625878526,0.02856554985003951,0.0008159906382350923,0.3642147394353653,0.021232660123818477,0.0004508258559335912,0.006337295247295739,0.0014229282801433917,2.0247248904318307e-06,0.19170758286241046,0.01831000046131383,0.00033525611689331266,0.013202991873980413,0.001255964352864142,1.5774464556654433e-06,0.15360163741214733,0.02856554985003949,0.0008159906382350911,0.6292086792249332,0.020702824837158736,0.0004286069562380766,0.9193491094158303,0.007947704343849761,6.316600433724836e-05,2.867794156272961e-07,2.088172148422313e-08,4.360462921446659e-16,10.026675510406495,1.842030053373476,3.3930747175310905,0.1156661033630371,0.008422038950090806,7.093074007684664e-05
5,RobustScaler + sin PCA + RUS_SMOTE + mlp,RobustScaler,False,,RUS_SMOTE,RUS_SMOTE,mlp,MLPClassifier,10000,6,"{""alpha"": 0.001, ""hidden_layer_sizes"": [100, 50]}",0.001,"(100, 50)",0.7508448397432596,0.050291299748298025,0.002529214830373161,0.9453230748127469,0.004318621413608452,1.865049091407746e-05,0.7508448397432596,0.050291299748298025,0.002529214830373161,0.8234927251972923,0.030349373630934283,0.0009210844797900491,0.3031315617368023,0.011673727679829922,0.00013627591794282726,0.7851679853298358,0.027344907103117544,0.0007477439444781282,0.3527614287796701,0.015361473099218887,0.0002359748557780255,0.011251096920696337,0.0033181512597671697,1.1010127782694456e-05,0.24915516025674048,0.050291299748298025,0.002529214830373161,0.01736041714516245,0.003353331485224442,1.1244832049797562e-05,0.21483201467016427,0.02734490710311753,0.0007477439444781276,0.5620020113459614,0.050278281098655606,0.0025279055502354293,0.8855548736907327,0.022590486529250747,0.0005103300816282595,4.484211303996825e-07,2.257365484967535e-08,5.095698932722714e-16,6.925332498550415,0.5673072263099898,0.3218374890235339,0.18086071014404298,0.009104639087479051,8.289445291325137e-05
6,RobustScaler + sin PCA + RUS_SMOTE + mlp,RobustScaler,False,,RUS_SMOTE,RUS_SMOTE,mlp,MLPClassifier,10000,3,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100, 50]}",0.0001,"(100, 50)",0.7631995603723578,0.03948178175334159,0.001558811090418497,0.9431191981760835,0.010985919198787624,0.0001206904206422905,0.7631995603723578,0.03948178175334159,0.001558811090418497,0.8309064582596658,0.02285247923262314,0.0005222358070774719,0.3008138465666016,0.007895962774709582,6.234622813959946e-05,0.7859822617133319,0.03524346502533633,0.001242101826992105,0.3492070228265905,0.015394113657158183,0.00023697873528950408,0.018268649444202836,0.01835973894635146,0.00033708001417817466,0.23680043962764213,0.03948178175334159,0.001558811090418497,0.017004605938123002,0.0024373599980779042,5.940723760230321e-06,0.2140177382866682,0.03524346502533626,0.0012421018269921002,0.5668282918861839,0.03217928713483657,0.0010355065205062586,0.8879317610045835,0.016764722778926017,0.0002810559298542409,4.416604207197434e-07,2.7510359946229235e-08,7.568199043710938e-16,7.414410638809204,0.32290332626120405,0.10426655811054958,0.1781339168548584,0.011095499899616777,0.0001231101180223959
