n,mean_accuracy,std_accuracy,mean_precision_weighted,std_precision_weighted,mean_recall_weighted,std_recall_weighted,mean_f1_weighted,std_f1_weighted,mean_precision_macro,std_precision_macro,mean_recall_macro,std_recall_macro,mean_f1_macro,std_f1_macro,mean_fpr_weighted,std_fpr_weighted,mean_fnr_weighted,std_fnr_weighted,mean_fpr_macro,std_fpr_macro,mean_fnr_macro,std_fnr_macro,mean_mcc,std_mcc,mean_roc_auc,std_roc_auc,mean_detection_latency_seconds,std_detection_latency_seconds,mean_fit_time,mean_score_time
500,0.016087,0.004099,0.834256,0.009188,0.016087,0.004099,0.023261,0.007856,0.102527,0.034107,0.297054,0.023456,0.041188,0.015594,0.010881,0.002197,0.983913,0.004099,0.06632,0.000318,0.702946,0.023456,-0.00378,0.01279,0.501905,0.002856,1e-06,0.0,0.001886,0.570704
1000,0.025381,0.005232,0.83578,0.009862,0.025381,0.005232,0.03044,0.007917,0.104993,0.033744,0.400489,0.028096,0.046037,0.014675,0.012329,0.002455,0.974619,0.005232,0.065796,0.000339,0.599511,0.028096,0.007745,0.010736,0.507152,0.002573,2e-06,0.0,0.003723,0.614909
2000,0.039649,0.004962,0.823825,0.037248,0.039649,0.004962,0.043565,0.010249,0.096772,0.010971,0.511626,0.011953,0.04953,0.004884,0.014329,0.005025,0.960351,0.004962,0.064979,0.000305,0.488374,0.011953,0.026636,0.006221,0.512059,0.004501,2e-06,0.0,0.006365,0.695506
5000,0.070562,0.018098,0.82769,0.04458,0.070562,0.018098,0.079767,0.025529,0.10658,0.009329,0.606338,0.031569,0.064576,0.005812,0.0152,0.011212,0.929438,0.018098,0.062976,0.0014,0.393662,0.031569,0.063254,0.017889,0.526498,0.012505,2e-06,0.0,0.017522,0.902443
10000,0.082704,0.02486,0.839672,0.020078,0.082704,0.02486,0.093201,0.037951,0.123535,0.00789,0.62993,0.040711,0.086521,0.01207,0.019655,0.005264,0.917296,0.02486,0.062463,0.001705,0.37007,0.040711,0.071498,0.021772,0.533998,0.01635,2e-06,0.0,0.037382,0.987355
20000,0.10313,0.029283,0.859637,0.003833,0.10313,0.029283,0.108565,0.044459,0.147337,0.005627,0.658282,0.033491,0.12039,0.01526,0.025084,0.001623,0.89687,0.029283,0.061464,0.002053,0.341718,0.033491,0.092408,0.026829,0.540349,0.015709,3e-06,0.0,0.0812,1.116202
30000,0.116541,0.015573,0.859427,0.003146,0.116541,0.015573,0.107844,0.018971,0.146943,0.004011,0.67529,0.025972,0.126977,0.011233,0.024364,0.001072,0.883459,0.015573,0.060522,0.001093,0.32471,0.025972,0.124004,0.0193,0.546824,0.008607,3e-06,0.0,0.122706,1.161633
40000,0.131686,0.009428,0.860107,0.00343,0.131686,0.009428,0.120695,0.013242,0.147114,0.001591,0.690537,0.022515,0.130765,0.005795,0.024679,0.000558,0.868314,0.009428,0.059533,0.000644,0.309463,0.022515,0.141998,0.00821,0.556156,0.007943,3e-06,0.0,0.178121,1.138141
