dataset,experiment,descripcion_experimento,scaler,use_pca,n_components_pca,rebalanceo,rebalanceo_short,model,model_display_name,n,B_accuracy_mean,B_accuracy_std,B_accuracy_var,B_precision_weighted_mean,B_precision_weighted_std,B_precision_weighted_var,B_recall_weighted_mean,B_recall_weighted_std,B_recall_weighted_var,B_f1_weighted_mean,B_f1_weighted_std,B_f1_weighted_var,B_precision_macro_mean,B_precision_macro_std,B_precision_macro_var,B_recall_macro_mean,B_recall_macro_std,B_recall_macro_var,B_f1_macro_mean,B_f1_macro_std,B_f1_macro_var,B_fpr_weighted_mean,B_fpr_weighted_std,B_fpr_weighted_var,B_fnr_weighted_mean,B_fnr_weighted_std,B_fnr_weighted_var,B_fpr_macro_mean,B_fpr_macro_std,B_fpr_macro_var,B_fnr_macro_mean,B_fnr_macro_std,B_fnr_macro_var,B_mcc_mean,B_mcc_std,B_mcc_var,B_roc_auc_mean,B_roc_auc_std,B_roc_auc_var,B_detection_latency_seconds_mean,B_detection_latency_seconds_std,B_detection_latency_seconds_var,B_fit_time_mean,B_fit_time_std,B_fit_time_var,B_score_time_mean,B_score_time_std,B_score_time_var
CIC17,A2__RobustScaler_pca_RUS_SMOTE_ENN_knn,RobustScaler + PCA + RUS_SMOTE_ENN + knn,RobustScaler,True,3,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,500,0.7650551248146705,0.0077244677531328396,5.96674020691891e-05,0.9063316598362474,0.0031257277954433223,9.770174251206972e-06,0.7650551248146705,0.0077244677531328396,5.96674020691891e-05,0.8216659028094313,0.006429833520506795,4.1342759101432806e-05,0.2407697671442405,0.006468972463434227,4.184760473267029e-05,0.7257311350174056,0.00829628135863312,6.882828438160343e-05,0.28143281945244003,0.007045466692612449,4.9638600916711405e-05,0.0769862900775258,0.005556662911112771,3.087650270773625e-05,0.23494487518532944,0.007724467753132848,5.966740206918924e-05,0.020795411017523684,0.0005189090325366707,2.6926658404814363e-07,0.2742688649825942,0.00829628135863308,6.882828438160275e-05,0.5044984651317181,0.0072343776262491204,5.233621963917386e-05,0.8858418275681043,0.0052047812994073465,2.7089748374660423e-05,1.3483667391166852e-06,5.692124401989171e-08,3.2400280207720577e-15,0.002219867706298828,0.00024423417007275836,5.965032983112905e-08,0.5438337802886963,0.022957618306844618,0.0005270522383227672
CIC17,A2__RobustScaler_pca_RUS_SMOTE_ENN_knn,RobustScaler + PCA + RUS_SMOTE_ENN + knn,RobustScaler,True,3,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,1000,0.7833211568013531,0.004929915796168565,2.4304069757312336e-05,0.9133914594761514,0.0007208954966899206,5.196903171478074e-07,0.7833211568013531,0.004929915796168565,2.4304069757312336e-05,0.8356932150582175,0.0031784706469288274,1.0102675653388158e-05,0.25609758839714425,0.007897613653897646,6.237230142623051e-05,0.7532739461546777,0.021616886081561076,0.00046728976386318903,0.3027601152826474,0.009505796154280809,9.036016052673983e-05,0.06495543616071124,0.0034069970483599898,1.1607628887533682e-05,0.216678843198647,0.004929915796168553,2.430406975731222e-05,0.01877561862395722,0.0003254832988043725,1.0593937780057643e-07,0.24672605384532229,0.021616886081561117,0.00046728976386319076,0.5351966219459683,0.0037131741550429937,1.378766230567925e-05,0.9028555416662061,0.003349305801735353,1.1217849353538096e-05,1.423303730857624e-06,4.2763642049059126e-08,1.8287290813000576e-15,0.004024982452392578,0.0009103658711569332,8.287660193673219e-07,0.5740579605102539,0.01724769093161802,0.00029748284247261837
CIC17,A2__RobustScaler_pca_RUS_SMOTE_ENN_knn,RobustScaler + PCA + RUS_SMOTE_ENN + knn,RobustScaler,True,3,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,2000,0.8061948600258445,0.002338411224480206,5.468167054775016e-06,0.9214583758642141,0.0017677993810026854,3.1251146514734777e-06,0.8061948600258445,0.002338411224480206,5.468167054775016e-06,0.8528499723470322,0.0014535602402014156,2.112837371894397e-06,0.27420144815618636,0.004216837059869384,1.778171478948787e-05,0.7705682329283604,0.013964309761859509,0.00019500194712516477,0.3267420273267828,0.004858923280107188,2.360913544196759e-05,0.05374750436047136,0.0032032075139694,1.0260538377550025e-05,0.19380513997415555,0.0023384112244802177,5.4681670547750704e-06,0.01650350962230846,0.00014675344725136058,2.153657428015787e-08,0.22943176707163956,0.013964309761859535,0.0001950019471251655,0.5734736154597483,0.0026814146245761152,7.18998438889067e-06,0.9184232170194981,0.0015070395565244838,2.2711682249295127e-06,1.5118856458704572e-06,6.082054068090732e-08,3.699138168717902e-15,0.006232833862304688,0.0010648996008169726,1.1340111598201475e-06,0.609785509109497,0.02453055531381174,0.0006017481440039774
CIC17,A2__RobustScaler_pca_RUS_SMOTE_ENN_knn,RobustScaler + PCA + RUS_SMOTE_ENN + knn,RobustScaler,True,3,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,5000,0.8362904781985652,0.004739536008508893,2.2463201575952414e-05,0.9309481319942166,0.0014318539131149347,2.050205628502551e-06,0.8362904781985652,0.004739536008508893,2.2463201575952414e-05,0.874837210376891,0.0031944085690271125,1.0204246105873844e-05,0.2957674908986379,0.0035454423915760305,1.2570161751984363e-05,0.7788581880720276,0.026011706489367674,0.0006766088744890123,0.3543425877366059,0.004441511492583738,1.9727024338753428e-05,0.04427673007714362,0.0016201560411351647,2.6249055976267696e-06,0.16370952180143475,0.004739536008508897,2.246320157595244e-05,0.013865750125238557,0.0002453085481518015,6.017628379634473e-08,0.2211418119279725,0.026011706489367754,0.0006766088744890166,0.6226175392133868,0.00764552597847883,5.8454067487594675e-05,0.9331422791246642,0.0013075709749234407,1.7097418544622372e-06,1.622210079061462e-06,2.9330635696160162e-08,8.602861903408647e-16,0.017375802993774413,0.0013379959063987959,1.7902330455399352e-06,0.6542824268341064,0.01183017400850672,0.00013995301707154796
CIC17,A2__RobustScaler_pca_RUS_SMOTE_ENN_knn,RobustScaler + PCA + RUS_SMOTE_ENN + knn,RobustScaler,True,3,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,10000,0.8588135998424111,0.0012342614583927614,1.5234013476738264e-06,0.938133017830185,0.0011362008465466433,1.2909523636933089e-06,0.8588135998424111,0.0012342614583927614,1.5234013476738264e-06,0.8914588873519206,0.00080209052694828,6.433492134201696e-07,0.313830072185345,0.002471756551644534,6.109580450597678e-06,0.7781031648675343,0.02744701310261976,0.0007533385282553808,0.3758638445053785,0.0027384143016165826,7.498912887298237e-06,0.03962277195351024,0.000976641222897049,9.538280782618432e-07,0.141186400157589,0.0012342614583927924,1.523401347673903e-06,0.012053944807406613,6.220006785275242e-05,3.868848440887006e-09,0.22189683513246578,0.027447013102619666,0.0007533385282553755,0.6601889178120713,0.0031174259016994695,9.71834425258675e-06,0.9441465544606791,0.0007225874753216003,5.221326594916443e-07,1.7157631448673275e-06,4.3945043388244716e-08,1.9311668383947106e-15,0.036468791961669925,0.0003825433865697108,1.463394426082232e-07,0.6920149803161622,0.01772454360974605,0.00031415944617378954
CIC17,A2__RobustScaler_pca_RUS_SMOTE_ENN_knn,RobustScaler + PCA + RUS_SMOTE_ENN + knn,RobustScaler,True,3,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,20000,0.8800687677620201,0.0019116169678873513,3.6542794319148307e-06,0.94529227198722,0.0008027008525839928,6.44328658739069e-07,0.8800687677620201,0.0019116169678873513,3.6542794319148307e-06,0.9072557663794854,0.0009156951953840616,8.384976908494547e-07,0.33607167416880396,0.0029507414669812746,8.706875204962804e-06,0.7834740483359054,0.030063482697262226,0.0009038129918885853,0.40071547019566445,0.005366869783501317,2.8803291273059466e-05,0.03622634369457285,0.000412940820912719,1.7052012157607024e-07,0.11993123223797977,0.001911616967887372,3.65427943191491e-06,0.010410505062170174,0.00014479661612384095,2.096606004091496e-08,0.21652595166409463,0.030063482697262233,0.0009038129918885856,0.6983120073293578,0.004363592807447664,1.9040942189208984e-05,0.9524915834137836,0.0008578379565436552,7.358859596869941e-07,1.8084401668896374e-06,2.5267523559559503e-08,6.384477468328945e-16,0.08006033897399903,0.0006477887331003278,4.1963024273172777e-07,0.7293941974639893,0.010191411686266296,0.00010386487215896523
CIC17,A2__RobustScaler_pca_RUS_SMOTE_ENN_knn,RobustScaler + PCA + RUS_SMOTE_ENN + knn,RobustScaler,True,3,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,30000,0.8909586696617776,0.0017112641412058102,2.928424960976859e-06,0.9492583391878859,0.0006968744121766882,4.856339463466047e-07,0.8909586696617776,0.0017112641412058102,2.928424960976859e-06,0.9153845921996566,0.0006263264747936077,3.9228485302738774e-07,0.3482218610748407,0.003547526233175591,1.2584942375068998e-05,0.7822824023311943,0.028549934699018356,0.0008150987713182123,0.4142781423154929,0.005846825140495368,3.418536422352868e-05,0.03394286160351971,0.0007337649457583043,5.384109956236872e-07,0.1090413303382223,0.001711264141205813,2.928424960976869e-06,0.0095322794627828,0.00012888358848480233,1.6610979380719875e-08,0.21771759766880566,0.028549934699018287,0.0008150987713182084,0.7195062878038712,0.004171488502494946,1.7401316326447524e-05,0.9569378654659731,0.001024273008659504,1.0491351962683924e-06,1.941455110256858e-06,1.908457229644691e-08,3.642208997383089e-16,0.12062263488769531,0.0010940626071126558,1.1969729882821412e-06,0.7830428123474121,0.007696558287271695,5.923700946937061e-05
CIC17,A2__RobustScaler_pca_RUS_SMOTE_ENN_knn,RobustScaler + PCA + RUS_SMOTE_ENN + knn,RobustScaler,True,3,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,40000,0.8974521472985538,0.0019578534113149876,3.833189980197734e-06,0.9512771901438335,0.00048182291891994835,2.3215332519653913e-07,0.8974521472985538,0.0019578534113149876,3.833189980197734e-06,0.9200627904484021,0.0007888469078448983,6.222794440164574e-07,0.3584479809812128,0.004145385235744334,1.718421875272711e-05,0.7857441388479186,0.033138557955332444,0.0010981640233589272,0.4258525634878274,0.006008421332062546,3.610112690358425e-05,0.03297155092742904,0.0005959740575238901,3.551850772414892e-07,0.1025478527014462,0.001957853411314971,3.83318998019767e-06,0.009034626908591683,0.00013781074534546765,1.8991801532673333e-08,0.21425586115208134,0.03313855795533251,0.0010981640233589315,0.7326086419906384,0.004505051109492083,2.0295485499135853e-05,0.9596397362162458,0.0006630294465808399,4.3960804703329487e-07,1.906788246453142e-06,7.656748958732105e-09,5.862580461704516e-17,0.17477574348449706,0.0013971938967804367,1.952150785200502e-06,0.7690607070922851,0.003087739055777558,9.534132476574085e-06
