dataset,experiment,descripcion_experimento,scaler,use_pca,n_components_pca,rebalanceo,rebalanceo_short,model,model_display_name,n,param_id,params,fold,train_original_rows_A,train_balanceado_rows_A,val_rows_B,param_metric,param_n_neighbors,B_accuracy,B_precision_weighted,B_recall_weighted,B_f1_weighted,B_precision_macro,B_recall_macro,B_f1_macro,B_mcc,B_roc_auc,B_detection_latency_seconds,B_fpr_macro,B_fnr_macro,B_fpr_weighted,B_fnr_weighted,B_score_time,B_fit_time
CIC18,C__StandardScaler_no_pca_RUS_SMOTE_ENN_knn,StandardScaler + sin PCA + RUS_SMOTE_ENN + knn,StandardScaler,False,,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,10000,1,"{""metric"": ""euclidean"", ""n_neighbors"": 3}",1,2225871,148769,556468,euclidean,3,0.9610777259429114,0.9746120758578539,0.9610777259429114,0.965489317130098,0.6759477693858711,0.9443837084859917,0.7254750479793395,0.9378690536662575,0.9849111187370745,3.441011357168788e-05,0.0029261662661917197,0.05561629151400826,0.004970219935787167,0.03892227405708864,19.14812707901001,0.02875804901123047
CIC18,C__StandardScaler_no_pca_RUS_SMOTE_ENN_knn,StandardScaler + sin PCA + RUS_SMOTE_ENN + knn,StandardScaler,False,,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,10000,1,"{""metric"": ""euclidean"", ""n_neighbors"": 3}",2,2225871,148737,556468,euclidean,3,0.9611082757678788,0.974659840797818,0.9611082757678788,0.9655101079299895,0.6666045420465477,0.955445499695325,0.7184965094460927,0.9379364191262906,0.9850915964699598,3.474845948749857e-05,0.0029219862074574914,0.04455450030467494,0.004938068879741211,0.038891724232121165,19.336405754089355,0.02838611602783203
CIC18,C__StandardScaler_no_pca_RUS_SMOTE_ENN_knn,StandardScaler + sin PCA + RUS_SMOTE_ENN + knn,StandardScaler,False,,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,10000,1,"{""metric"": ""euclidean"", ""n_neighbors"": 3}",3,2225871,148709,556468,euclidean,3,0.9612448514559687,0.9741975519518078,0.9612448514559687,0.9654709406513036,0.6667456237220712,0.9410109000593347,0.7215465726539083,0.9380249014460219,0.9855380733038757,3.484871715896997e-05,0.0029417011430922153,0.05898909994066523,0.005370368602351948,0.03875514854403128,19.3921959400177,0.029025793075561523
CIC18,C__StandardScaler_no_pca_RUS_SMOTE_ENN_knn,StandardScaler + sin PCA + RUS_SMOTE_ENN + knn,StandardScaler,False,,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,10000,1,"{""metric"": ""euclidean"", ""n_neighbors"": 3}",4,2225871,148686,556468,euclidean,3,0.9607991834211491,0.9744601152648994,0.9607991834211491,0.9652716781753501,0.6746420616431318,0.9595864677148143,0.7245090990094012,0.9374354441336323,0.9848984993296662,3.4823584724703276e-05,0.002958486414595406,0.040413532285185676,0.005176479640080196,0.0392008165788509,19.37821054458618,0.028287649154663086
CIC18,C__StandardScaler_no_pca_RUS_SMOTE_ENN_knn,StandardScaler + sin PCA + RUS_SMOTE_ENN + knn,StandardScaler,False,,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,10000,1,"{""metric"": ""euclidean"", ""n_neighbors"": 3}",5,2225872,148781,556467,euclidean,3,0.9617030300089673,0.9747153345146016,0.9617030300089673,0.9659154028404666,0.6671391465357126,0.9503853204437763,0.7171361366348711,0.9388328234309031,0.9854997216449082,3.54729118063568e-05,0.0028746501756727184,0.049614679556223694,0.004822782644058066,0.038296969991032714,19.73950481414795,0.02859663963317871
CIC18,C__StandardScaler_no_pca_RUS_SMOTE_ENN_knn,StandardScaler + sin PCA + RUS_SMOTE_ENN + knn,StandardScaler,False,,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,10000,2,"{""metric"": ""euclidean"", ""n_neighbors"": 5}",1,2225871,148769,556468,euclidean,5,0.9581287693092865,0.9739805314602491,0.9581287693092865,0.9632760420270594,0.6670317001506535,0.9457641548495714,0.7159772113004373,0.9337143163743132,0.9865998368394939,3.4728317207545865e-05,0.003062331859633965,0.05423584515042854,0.004063747203795907,0.04187123069071357,19.325197219848633,0.028867006301879883
CIC18,C__StandardScaler_no_pca_RUS_SMOTE_ENN_knn,StandardScaler + sin PCA + RUS_SMOTE_ENN + knn,StandardScaler,False,,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,10000,2,"{""metric"": ""euclidean"", ""n_neighbors"": 5}",2,2225871,148737,556468,euclidean,5,0.9584127029766312,0.974274855023244,0.9584127029766312,0.9635738302655452,0.658680937410678,0.9560746806169463,0.7106557849270807,0.9341587939671953,0.9865872292632635,3.472293373635541e-05,0.003036155608670885,0.04392531938305371,0.003955037106694461,0.041587297023368816,19.32220149040222,0.028880834579467773
CIC18,C__StandardScaler_no_pca_RUS_SMOTE_ENN_knn,StandardScaler + sin PCA + RUS_SMOTE_ENN + knn,StandardScaler,False,,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,10000,2,"{""metric"": ""euclidean"", ""n_neighbors"": 5}",3,2225871,148709,556468,euclidean,5,0.9584396587045436,0.9737434511564935,0.9584396587045436,0.9634262888830575,0.6570578559510222,0.9418155734553822,0.7111592251399845,0.9340917753267896,0.9869421080486176,3.501821702403953e-05,0.00305915338638688,0.0581844265446177,0.004326959500346859,0.04156034129545634,19.486517190933228,0.02946305274963379
CIC18,C__StandardScaler_no_pca_RUS_SMOTE_ENN_knn,StandardScaler + sin PCA + RUS_SMOTE_ENN + knn,StandardScaler,False,,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,10000,2,"{""metric"": ""euclidean"", ""n_neighbors"": 5}",4,2225871,148686,556468,euclidean,5,0.9581305663578139,0.9739709400535869,0.9581305663578139,0.963281143544778,0.6646080877233456,0.9604449789980938,0.7148329116415918,0.9337233051474827,0.986506696576142,3.5020932967046e-05,0.0030642453629847366,0.03955502100190617,0.004094246802584966,0.04186943364218607,19.488028526306152,0.028373003005981445
CIC18,C__StandardScaler_no_pca_RUS_SMOTE_ENN_knn,StandardScaler + sin PCA + RUS_SMOTE_ENN + knn,StandardScaler,False,,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,10000,2,"{""metric"": ""euclidean"", ""n_neighbors"": 5}",5,2225872,148781,556467,euclidean,5,0.9588906440094381,0.9741608496012133,0.9588906440094381,0.9638432230329737,0.6586698191118329,0.9498999325838682,0.708614619372268,0.9348687470611309,0.9869565133921753,3.4827663171271794e-05,0.0029983866019247882,0.05010006741613181,0.0038664430383099297,0.04110935599056188,19.3804452419281,0.029722929000854492
