dataset,experiment,descripcion_experimento,scaler,use_pca,n_components_pca,rebalanceo,rebalanceo_short,model,model_display_name,n,param_id,params,param_C,B_accuracy_mean,B_accuracy_std,B_accuracy_var,B_precision_weighted_mean,B_precision_weighted_std,B_precision_weighted_var,B_recall_weighted_mean,B_recall_weighted_std,B_recall_weighted_var,B_f1_weighted_mean,B_f1_weighted_std,B_f1_weighted_var,B_precision_macro_mean,B_precision_macro_std,B_precision_macro_var,B_recall_macro_mean,B_recall_macro_std,B_recall_macro_var,B_f1_macro_mean,B_f1_macro_std,B_f1_macro_var,B_fpr_weighted_mean,B_fpr_weighted_std,B_fpr_weighted_var,B_fnr_weighted_mean,B_fnr_weighted_std,B_fnr_weighted_var,B_fpr_macro_mean,B_fpr_macro_std,B_fpr_macro_var,B_fnr_macro_mean,B_fnr_macro_std,B_fnr_macro_var,B_mcc_mean,B_mcc_std,B_mcc_var,B_roc_auc_mean,B_roc_auc_std,B_roc_auc_var,B_detection_latency_seconds_mean,B_detection_latency_seconds_std,B_detection_latency_seconds_var,B_fit_time_mean,B_fit_time_std,B_fit_time_var,B_score_time_mean,B_score_time_std,B_score_time_var
CIC17,B__StandardScaler_pca_RUS_SMOTE_logreg,StandardScaler + PCA + RUS_SMOTE + logreg,StandardScaler,True,33,RUS_SMOTE,RUS_SMOTE,logreg,LogisticRegression,10000,1,"{""C"": 0.01}",0.01,0.7034640290441752,0.0038107606871143483,1.4521897014456219e-05,0.9487070345161108,0.0004545837887390889,2.066464209843846e-07,0.7034640290441752,0.0038107606871143483,1.4521897014456219e-05,0.7892438814858092,0.002486165410003298,6.181018445896866e-06,0.2674666691091241,0.0042227138391008785,1.783131216693408e-05,0.8177961832141831,0.012114811006453233,0.0001467686457220804,0.31217011119584015,0.0051578003246961395,2.66029041894356e-05,0.0039015596439143847,0.00010189282628494444,1.0382148048333865e-08,0.2965359709558248,0.0038107606871143488,1.4521897014456222e-05,0.020029168706649277,0.0002569036430247834,6.599948179940532e-08,0.1822038167858168,0.012114811006453181,0.00014676864572207913,0.5316418809088707,0.0030582509027783948,9.352898584344867e-06,0.9650649087714044,0.0011171950540157893,1.2481247887173426e-06,6.597656505521425e-08,4.815372516018728e-09,2.3187812468028537e-17,7.083122110366821,0.2628781276176734,0.06910490997977377,0.026610183715820312,0.0019421886406044333,3.772096715692896e-06
CIC17,B__StandardScaler_pca_RUS_SMOTE_logreg,StandardScaler + PCA + RUS_SMOTE + logreg,StandardScaler,True,33,RUS_SMOTE,RUS_SMOTE,logreg,LogisticRegression,10000,2,"{""C"": 0.1}",0.1,0.7358029862055745,0.005976442749168332,3.571786793408673e-05,0.9523276401308245,0.0005898951040206614,3.47976233747547e-07,0.7358029862055745,0.005976442749168332,3.571786793408673e-05,0.8145712882576376,0.004194230507517524,1.7591569550190706e-05,0.28872906822421307,0.0036200880821709164,1.3105037722675902e-05,0.8318376697197823,0.01264446112406916,0.00015988239711809633,0.34307741851806506,0.004559218887424326,2.0786476863446714e-05,0.004389650780448262,0.00012167243498358468,1.4804181434834643e-08,0.2641970137944255,0.005976442749168329,3.57178679340867e-05,0.01790577763832491,0.0003963098903032129,1.5706152915214466e-07,0.16816233028021765,0.012644461124069164,0.0001598823971180964,0.5624125160663519,0.005192800633708341,2.696517842144175e-05,0.9766544358946158,0.0005572978726199578,3.1058091882673075e-07,6.217395130718795e-08,6.311930635585678e-09,3.9840468348445024e-17,13.574085187911987,0.5366527942842658,0.2879962216131105,0.02507648468017578,0.002545796269439631,6.481078645492744e-06
CIC17,B__StandardScaler_pca_RUS_SMOTE_logreg,StandardScaler + PCA + RUS_SMOTE + logreg,StandardScaler,True,33,RUS_SMOTE,RUS_SMOTE,logreg,LogisticRegression,10000,3,"{""C"": 1}",1.0,0.7719373666453169,0.0043644106706553385,1.9048080502130184e-05,0.9562683516896724,0.0002805923387053404,7.873206054013245e-08,0.7719373666453169,0.0043644106706553385,1.9048080502130184e-05,0.8413166146843338,0.0028364844482163935,8.045644024973457e-06,0.3277006368113903,0.025645032352857935,0.0006576676843791302,0.8823604215374319,0.015334246183644004,0.0002351391060206007,0.39066461480460524,0.02240713405408973,0.0005020796565179476,0.003961483747296052,0.0002576294385328551,6.637292759875416e-08,0.22806263335468308,0.00436441067065536,1.904808050213037e-05,0.015468274473465276,0.0002987272242808862,8.923795452656289e-08,0.11763957846256803,0.015334246183644044,0.00023513910602060192,0.6012348926514646,0.004316302373240767,1.8630466177243875e-05,0.9809229184317745,0.00034786982916964316,1.2101341804651673e-07,5.720977834792881e-08,5.152593344917404e-09,2.6549218178087116e-17,27.12103729248047,1.5990728235812208,2.5570338951160183,0.02307429313659668,0.0020781716476792954,4.318797397218077e-06
CIC17,B__StandardScaler_pca_RUS_SMOTE_logreg,StandardScaler + PCA + RUS_SMOTE + logreg,StandardScaler,True,33,RUS_SMOTE,RUS_SMOTE,logreg,LogisticRegression,10000,4,"{""C"": 10}",10.0,0.797557717215946,0.0047000846161135024,2.2090795398626812e-05,0.9583917645422426,0.0002788441276610108,7.77540475310301e-08,0.797557717215946,0.0047000846161135024,2.2090795398626812e-05,0.859333890672802,0.0030305486154622095,9.184224910679914e-06,0.3249029041326167,0.01433712273947957,0.0002055530884469022,0.8906694771612866,0.010449336535946268,0.00010918863404146156,0.38916637017675926,0.01747829335885873,0.0003054907387383252,0.003648397146933221,0.00019253501135175566,3.706973059622068e-08,0.20244228278405402,0.004700084616113506,2.209079539862684e-05,0.013739378662065815,0.00032373808840961324,1.0480634988711056e-07,0.10933052283871336,0.010449336535946251,0.0001091886340414612,0.6274245810771777,0.005199860598698676,2.7038550245898952e-05,0.9828431312931931,0.0006964425162462993,4.850321784354769e-07,5.765453844864616e-08,6.446269316464394e-09,4.155438810039033e-17,41.781279468536376,0.906566921030524,0.8218635823067644,0.023253679275512695,0.0025999722432076522,6.759855665450232e-06
