n,mean_accuracy,std_accuracy,mean_precision_weighted,std_precision_weighted,mean_recall_weighted,std_recall_weighted,mean_f1_weighted,std_f1_weighted,mean_precision_macro,std_precision_macro,mean_recall_macro,std_recall_macro,mean_f1_macro,std_f1_macro,mean_fpr_weighted,std_fpr_weighted,mean_fnr_weighted,std_fnr_weighted,mean_fpr_macro,std_fpr_macro,mean_fnr_macro,std_fnr_macro,mean_mcc,std_mcc,mean_roc_auc,std_roc_auc,mean_detection_latency_seconds,std_detection_latency_seconds,mean_fit_time,mean_score_time
500,0.713569,0.012297,0.908224,0.002027,0.713569,0.012297,0.782695,0.009468,0.230183,0.004306,0.754652,0.026184,0.279152,0.005585,0.032443,0.002378,0.286431,0.012297,0.021258,0.000723,0.245348,0.026184,0.486611,0.011265,0.901729,0.003517,2e-06,0.0,0.001801,0.605426
1000,0.732947,0.005323,0.91406,0.001491,0.732947,0.005323,0.797597,0.004283,0.239466,0.00244,0.759935,0.035986,0.292141,0.003781,0.026545,0.000777,0.267053,0.005323,0.019573,0.000377,0.240065,0.035986,0.512862,0.005298,0.914817,0.002558,2e-06,0.0,0.003362,0.635571
2000,0.759083,0.004926,0.920654,0.000649,0.759083,0.004926,0.817861,0.003506,0.254914,0.001561,0.781478,0.031803,0.311979,0.002197,0.022137,0.001202,0.240917,0.004926,0.017537,0.000328,0.218522,0.031803,0.544554,0.005423,0.926544,0.000695,2e-06,0.0,0.006818,0.66876
5000,0.795473,0.005235,0.929243,0.001742,0.795473,0.005235,0.845368,0.00416,0.276958,0.003778,0.788854,0.031767,0.339179,0.00491,0.018411,0.000297,0.204527,0.005235,0.014863,0.000338,0.211146,0.031767,0.589965,0.006932,0.939752,0.001541,2e-06,0.0,0.024451,0.702629
10000,0.82362,0.001531,0.936251,0.001379,0.82362,0.001531,0.866556,0.001564,0.296148,0.003947,0.791274,0.025145,0.362078,0.004439,0.016261,0.000715,0.17638,0.001531,0.012843,0.000139,0.208726,0.025145,0.627897,0.003171,0.949663,0.000577,2e-06,0.0,0.053775,0.733272
20000,0.849447,0.001603,0.942344,0.001063,0.849447,0.001603,0.885352,0.000705,0.315581,0.003578,0.793276,0.040883,0.384811,0.00469,0.014877,0.000569,0.150553,0.001603,0.011029,0.000106,0.206724,0.040883,0.665898,0.002918,0.957497,0.000798,2e-06,0.0,0.091624,0.749749
30000,0.862549,0.001944,0.945513,0.000882,0.862549,0.001944,0.89481,0.000884,0.327092,0.004581,0.788664,0.039508,0.39807,0.005544,0.014015,0.000467,0.137451,0.001944,0.010098,0.00012,0.211336,0.039508,0.686613,0.003527,0.961434,0.00065,2e-06,0.0,0.136353,0.801545
40000,0.871254,0.001452,0.947507,0.000824,0.871254,0.001452,0.90096,0.000652,0.336373,0.004272,0.789659,0.041785,0.408801,0.005209,0.013515,0.000312,0.128746,0.001452,0.009484,9e-05,0.210341,0.041785,0.701062,0.002772,0.963845,0.000747,2e-06,0.0,0.196419,0.782399
