dataset,experiment,descripcion_experimento,scaler,use_pca,n_components_pca,rebalanceo,rebalanceo_short,model,model_display_name,n,fold,train_original_rows_A,train_balanceado_rows_A,val_rows_B,B_fit_time,B_score_time,B_accuracy,B_precision_weighted,B_recall_weighted,B_f1_weighted,B_precision_macro,B_recall_macro,B_f1_macro,B_mcc,B_roc_auc,B_detection_latency_seconds,B_fpr_macro,B_fnr_macro,B_fpr_weighted,B_fnr_weighted
CIC17,A2__StandardScaler_pca_RUS_SMOTE_knn,StandardScaler + PCA + RUS_SMOTE + knn,StandardScaler,True,33,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,500,1,1613311,7500,403328,0.0014307498931884766,0.7720456123352051,0.8730561726436052,0.9634766532621701,0.8730561726436052,0.9091019533357586,0.345776723550111,0.8730894554561814,0.41988107302537964,0.7194956137699055,0.9624107963399794,1.9141879867879372e-06,0.008717659657667381,0.12691054454381853,0.0038210675086159116,0.12694382735639478
CIC17,A2__StandardScaler_pca_RUS_SMOTE_knn,StandardScaler + PCA + RUS_SMOTE + knn,StandardScaler,True,33,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,500,2,1613311,7500,403328,0.0010571479797363281,0.7650632858276367,0.8566749642970486,0.9598419398460697,0.8566749642970486,0.8971023397757083,0.33966705405061004,0.907253354943668,0.41377440727489295,0.6963979755318629,0.9554730334392347,1.8968762045472585e-06,0.009794157632457645,0.09274664505633204,0.0035873287839132337,0.14332503570295144
CIC17,A2__StandardScaler_pca_RUS_SMOTE_knn,StandardScaler + PCA + RUS_SMOTE + knn,StandardScaler,True,33,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,500,3,1613311,7500,403328,0.000965118408203125,0.7349281311035156,0.8721288876547127,0.9633356417452901,0.8721288876547127,0.9083359575974373,0.34598458623015277,0.8700176445256262,0.42279470771989563,0.7182794129973971,0.9629341698493261,1.8221599569172377e-06,0.008794078848379046,0.1299823554743737,0.004040070380398481,0.1278711123452872
CIC17,A2__StandardScaler_pca_RUS_SMOTE_knn,StandardScaler + PCA + RUS_SMOTE + knn,StandardScaler,True,33,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,500,4,1613311,7500,403328,0.0009446144104003906,0.7358536720275879,0.8720396302761029,0.9635309294818358,0.8720396302761029,0.9084893605238789,0.34350630137592664,0.9001469744382564,0.4142352975341831,0.7183022721188617,0.9599121561053185,1.8244547168249859e-06,0.008793572641719153,0.09985302556174352,0.003943219901890131,0.12796036972389718
CIC17,A2__StandardScaler_pca_RUS_SMOTE_knn,StandardScaler + PCA + RUS_SMOTE + knn,StandardScaler,True,33,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,500,5,1613312,7500,403327,0.0009272098541259766,0.7629959583282471,0.862002791779375,0.9620396509988682,0.862002791779375,0.901239690942228,0.31930460700306434,0.866561882204904,0.38830640727493837,0.7038369997324787,0.9598724299017267,1.8917552217635988e-06,0.009458095101633996,0.133438117795096,0.0038742183038849823,0.13799720822062495
CIC17,A2__StandardScaler_pca_RUS_SMOTE_knn,StandardScaler + PCA + RUS_SMOTE + knn,StandardScaler,True,33,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,1000,1,1613311,15000,403328,0.0014064311981201172,1.3040745258331299,0.8992928832116789,0.9679966442020201,0.8992928832116789,0.9268005036848753,0.36302872160832295,0.8771641788117408,0.44022420728719597,0.761313974226727,0.9696321709689173,3.2332853802193993e-06,0.006956599466599326,0.12283582118825913,0.003641875210668708,0.10070711678832117
CIC17,A2__StandardScaler_pca_RUS_SMOTE_knn,StandardScaler + PCA + RUS_SMOTE + knn,StandardScaler,True,33,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,1000,2,1613311,15000,403328,0.0013477802276611328,1.1905007362365723,0.8938853736908918,0.9686910750916713,0.8938853736908918,0.9241074439580098,0.3715148852702289,0.913660576751467,0.4509538105328446,0.7527040599059857,0.9701111556877616,2.9516937486030534e-06,0.007276996707270092,0.08633942324853312,0.003040324299943179,0.10611462630910821
CIC17,A2__StandardScaler_pca_RUS_SMOTE_knn,StandardScaler + PCA + RUS_SMOTE + knn,StandardScaler,True,33,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,1000,3,1613311,15000,403328,0.0013735294342041016,1.2138936519622803,0.8984573349730245,0.9686270384172522,0.8984573349730245,0.9268903618865065,0.3781246364716175,0.8731478014235847,0.45666321307874785,0.7603578482385697,0.9731615884367739,3.009693480150846e-06,0.00701501858939156,0.1268521985764152,0.003682613813897835,0.10154266502697556
CIC17,A2__StandardScaler_pca_RUS_SMOTE_knn,StandardScaler + PCA + RUS_SMOTE + knn,StandardScaler,True,33,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,1000,4,1613311,15000,403328,0.0014274120330810547,1.1918821334838867,0.8963176372580133,0.9688710640719846,0.8963176372580133,0.9254811461475841,0.355603932109535,0.9086080537158642,0.4303138164599996,0.756689370866535,0.9729488299483541,2.9551187457451175e-06,0.007168023931791594,0.09139194628413588,0.003837996234887227,0.10368236274198667
CIC17,A2__StandardScaler_pca_RUS_SMOTE_knn,StandardScaler + PCA + RUS_SMOTE + knn,StandardScaler,True,33,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,1000,5,1613312,15000,403327,0.0013287067413330078,1.1915552616119385,0.894742975302918,0.9686750383797409,0.894742975302918,0.924320030117137,0.34364413969951535,0.8695534219355561,0.41646939211155354,0.7539670697754446,0.9733251111921722,2.9543156337461624e-06,0.007245710921156276,0.130446578064444,0.00342863912026212,0.10525702469708202
CIC17,A2__StandardScaler_pca_RUS_SMOTE_knn,StandardScaler + PCA + RUS_SMOTE + knn,StandardScaler,True,33,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,2000,1,1613311,30000,403328,0.002630472183227539,2.507934093475342,0.9198270390352269,0.9735164135285608,0.9198270390352269,0.9416466359192117,0.38766885523781286,0.8776476267707686,0.46687206917475155,0.7987530985434645,0.9781100022213269,6.21810063639356e-06,0.005549401890716597,0.12235237322923125,0.003068067395975859,0.0801729609647731
CIC17,A2__StandardScaler_pca_RUS_SMOTE_knn,StandardScaler + PCA + RUS_SMOTE + knn,StandardScaler,True,33,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,2000,2,1613311,30000,403328,0.002550840377807617,2.2300219535827637,0.9208163083148206,0.9739992561763582,0.9208163083148206,0.9425399814936806,0.4088346986496395,0.9145255054624644,0.4920985124038863,0.8008832010602338,0.9787575802082004,5.529053161651965e-06,0.005458752004186682,0.08547449453753572,0.0026975883776209253,0.0791836916851793
CIC17,A2__StandardScaler_pca_RUS_SMOTE_knn,StandardScaler + PCA + RUS_SMOTE + knn,StandardScaler,True,33,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,2000,3,1613311,30000,403328,0.0024814605712890625,2.230943441390991,0.924783302919708,0.9745839256511861,0.924783302919708,0.9451722771322998,0.4062684869449881,0.8750872185254125,0.4874120007946698,0.8083017688305999,0.9790138683219402,5.531337872379283e-06,0.00524621314886354,0.12491278147458737,0.0034765001526611107,0.07521669708029197
