dataset,experiment,descripcion_experimento,scaler,use_pca,n_components_pca,rebalanceo,rebalanceo_short,model,model_display_name,n,param_id,params,fold,train_original_rows_A,train_balanceado_rows_A,val_rows_B,param_C,B_accuracy,B_precision_weighted,B_recall_weighted,B_f1_weighted,B_precision_macro,B_recall_macro,B_f1_macro,B_mcc,B_roc_auc,B_detection_latency_seconds,B_fpr_macro,B_fnr_macro,B_fpr_weighted,B_fnr_weighted,B_score_time,B_fit_time
CIC17,C__RobustScaler_no_pca_RUS_SMOTE_ENN_logreg,RobustScaler + sin PCA + RUS_SMOTE_ENN + logreg,RobustScaler,False,,RUS_SMOTE_ENN,RUS_SMOTE_ENN,logreg,LogisticRegression,10000,1,"{""C"": 0.01}",1,1613311,144610,403328,0.01,0.16977993097429386,0.8639178408843383,0.16977993097429386,0.2733396295609388,0.1321199986827814,0.25828523978855394,0.05397703271739282,0.07500044877041076,0.539200536953255,1.0095524886266574e-07,0.05661257061976827,0.7417147602114461,0.01896849027081784,0.8302200690257061,0.04071807861328125,56.878899335861206
CIC17,C__RobustScaler_no_pca_RUS_SMOTE_ENN_logreg,RobustScaler + sin PCA + RUS_SMOTE_ENN + logreg,RobustScaler,False,,RUS_SMOTE_ENN,RUS_SMOTE_ENN,logreg,LogisticRegression,10000,1,"{""C"": 0.01}",2,1613311,144303,403328,0.01,0.15206482069184385,0.8899362024088088,0.15206482069184388,0.25314832444183927,0.15395500422376976,0.28416301248080666,0.0551743153346095,0.07444668225691628,0.5347680682852346,9.602937706687343e-08,0.057372874340162354,0.7158369875191933,0.012657935794279214,0.8479351793081561,0.03873133659362793,56.16866087913513
CIC17,C__RobustScaler_no_pca_RUS_SMOTE_ENN_logreg,RobustScaler + sin PCA + RUS_SMOTE_ENN + logreg,RobustScaler,False,,RUS_SMOTE_ENN,RUS_SMOTE_ENN,logreg,LogisticRegression,10000,1,"{""C"": 0.01}",3,1613311,144570,403328,0.01,0.13426789114566803,0.8944641875049334,0.13426789114566806,0.22585809779469104,0.14870583504316326,0.24707228046951288,0.05311444636418302,0.07178567653116627,0.5382307440627982,1.0311641378351258e-07,0.05798858718348669,0.7529277195304871,0.0040966988979685235,0.8657321088543319,0.04158973693847656,55.68842148780823
CIC17,C__RobustScaler_no_pca_RUS_SMOTE_ENN_logreg,RobustScaler + sin PCA + RUS_SMOTE_ENN + logreg,RobustScaler,False,,RUS_SMOTE_ENN,RUS_SMOTE_ENN,logreg,LogisticRegression,10000,1,"{""C"": 0.01}",4,1613311,144503,403328,0.01,0.19336619327197715,0.8334916782934715,0.19336619327197715,0.3070343518564993,0.12797519243528244,0.24404523608486206,0.05708252551623511,0.06731372414985744,0.5363169261237803,8.631536636001457e-08,0.05800261629965566,0.7559547639151379,0.0634054377668122,0.8066338067280229,0.03481340408325195,57.24718642234802
CIC17,C__RobustScaler_no_pca_RUS_SMOTE_ENN_logreg,RobustScaler + sin PCA + RUS_SMOTE_ENN + logreg,RobustScaler,False,,RUS_SMOTE_ENN,RUS_SMOTE_ENN,logreg,LogisticRegression,10000,1,"{""C"": 0.01}",5,1613312,144336,403327,0.01,0.14860150696581187,0.865367978018615,0.14860150696581187,0.2470542411073775,0.1479763844172301,0.24715647193142415,0.055971440626417304,0.06813402248543636,0.5320471544017351,1.1260548381391487e-07,0.0588168427937708,0.7528435280685759,0.030854148872373827,0.8513984930341881,0.045416831970214844,57.506866216659546
CIC17,C__RobustScaler_no_pca_RUS_SMOTE_ENN_logreg,RobustScaler + sin PCA + RUS_SMOTE_ENN + logreg,RobustScaler,False,,RUS_SMOTE_ENN,RUS_SMOTE_ENN,logreg,LogisticRegression,10000,2,"{""C"": 0.1}",1,1613311,144610,403328,0.1,0.14206551491589972,0.905887728160292,0.14206551491589972,0.23868711412750915,0.16212417680336222,0.2685023630542587,0.055510540382482286,0.0755467320821178,0.5364204155343945,9.007198645628962e-08,0.05746160369239347,0.7314976369457413,0.003989570301801649,0.8579344850841003,0.03632855415344238,57.940834522247314
CIC17,C__RobustScaler_no_pca_RUS_SMOTE_ENN_logreg,RobustScaler + sin PCA + RUS_SMOTE_ENN + logreg,RobustScaler,False,,RUS_SMOTE_ENN,RUS_SMOTE_ENN,logreg,LogisticRegression,10000,2,"{""C"": 0.1}",2,1613311,144303,403328,0.1,0.16425837035861632,0.8581358767829794,0.16425837035861632,0.26957345848584596,0.14882656277060446,0.28549828820828344,0.05612746611043926,0.06946620535826323,0.5387463765774935,9.21226103923995e-08,0.05841812894829477,0.7145017117917167,0.04053030458303789,0.8357416296413837,0.0371556282043457,56.10455870628357
CIC17,C__RobustScaler_no_pca_RUS_SMOTE_ENN_logreg,RobustScaler + sin PCA + RUS_SMOTE_ENN + logreg,RobustScaler,False,,RUS_SMOTE_ENN,RUS_SMOTE_ENN,logreg,LogisticRegression,10000,2,"{""C"": 0.1}",3,1613311,144570,403328,0.1,0.13813819025706126,0.8722173849077455,0.13813819025706126,0.232073542976476,0.1274675618913447,0.21641082307902854,0.043841623069583696,0.06126996154881342,0.5302007416252721,7.685258516392152e-08,0.05775804127185282,0.7835891769209714,0.004508809334853395,0.8618618097429388,0.03099679946899414,55.309295654296875
CIC17,C__RobustScaler_no_pca_RUS_SMOTE_ENN_logreg,RobustScaler + sin PCA + RUS_SMOTE_ENN + logreg,RobustScaler,False,,RUS_SMOTE_ENN,RUS_SMOTE_ENN,logreg,LogisticRegression,10000,2,"{""C"": 0.1}",4,1613311,144503,403328,0.1,0.1791147651539194,0.8017279527840335,0.1791147651539194,0.28566597462287063,0.1263377675757572,0.2546160006557302,0.05592427387615844,0.051374122915257635,0.5284351366054292,7.771977032225913e-08,0.061079391165336026,0.7453839993442698,0.09530563263395983,0.8208852348460806,0.03134655952453613,54.46699142456055
CIC17,C__RobustScaler_no_pca_RUS_SMOTE_ENN_logreg,RobustScaler + sin PCA + RUS_SMOTE_ENN + logreg,RobustScaler,False,,RUS_SMOTE_ENN,RUS_SMOTE_ENN,logreg,LogisticRegression,10000,2,"{""C"": 0.1}",5,1613312,144336,403327,0.1,0.1730556099641234,0.8264462411564406,0.1730556099641234,0.28040326373814084,0.14422605509959516,0.2718794829549339,0.05990171247824578,0.0619893886911848,0.5333142322593509,8.231067647303271e-08,0.06010140307068083,0.7281205170450662,0.0745766560243358,0.8269443900358766,0.03319811820983887,54.01473426818848
CIC17,C__RobustScaler_no_pca_RUS_SMOTE_ENN_logreg,RobustScaler + sin PCA + RUS_SMOTE_ENN + logreg,RobustScaler,False,,RUS_SMOTE_ENN,RUS_SMOTE_ENN,logreg,LogisticRegression,10000,3,"{""C"": 1}",1,1613311,144610,403328,1.0,0.13415384005077752,0.9034989936899408,0.13415384005077752,0.226263632561642,0.16041326176878404,0.2706407580330081,0.05476664933932563,0.07311502161365178,0.5372142136918493,7.072554074253819e-08,0.058005588643823505,0.7293592419669918,0.004237669708130103,0.8658461599492224,0.028525590896606445,54.44886255264282
CIC17,C__RobustScaler_no_pca_RUS_SMOTE_ENN_logreg,RobustScaler + sin PCA + RUS_SMOTE_ENN + logreg,RobustScaler,False,,RUS_SMOTE_ENN,RUS_SMOTE_ENN,logreg,LogisticRegression,10000,3,"{""C"": 1}",2,1613311,144303,403328,1.0,0.1545962591240876,0.8848441733514427,0.15459625912408756,0.25673073463768364,0.1546100387181375,0.28413803507519425,0.056730618852981814,0.07456305968246373,0.5378572098094063,6.886112220852537e-08,0.05753205804609448,0.7158619649248058,0.017577129815504914,0.8454037408759124,0.027773618698120117,54.290940046310425
CIC17,C__RobustScaler_no_pca_RUS_SMOTE_ENN_logreg,RobustScaler + sin PCA + RUS_SMOTE_ENN + logreg,RobustScaler,False,,RUS_SMOTE_ENN,RUS_SMOTE_ENN,logreg,LogisticRegression,10000,3,"{""C"": 1}",3,1613311,144570,403328,1.0,0.13477616232941922,0.8950847486720458,0.13477616232941922,0.22694333869672,0.14835960322513786,0.23174950486639873,0.052216628434098494,0.07098925706472692,0.5338524291782278,7.289320807425192e-08,0.05791515335659723,0.7682504951336013,0.003503462678377615,0.8652238376705808,0.029399871826171875,54.76862192153931
CIC17,C__RobustScaler_no_pca_RUS_SMOTE_ENN_logreg,RobustScaler + sin PCA + RUS_SMOTE_ENN + logreg,RobustScaler,False,,RUS_SMOTE_ENN,RUS_SMOTE_ENN,logreg,LogisticRegression,10000,3,"{""C"": 1}",4,1613311,144503,403328,1.0,0.18355779911139322,0.814152512668646,0.18355779911139322,0.2924962774717888,0.1276305453150673,0.2430179241557016,0.05657272561211928,0.0565223559076199,0.5401175379126655,7.500826499076996e-08,0.05999104661071047,0.7569820758442984,0.08342349827205026,0.8164422008886068,0.030252933502197266,53.62338948249817
CIC17,C__RobustScaler_no_pca_RUS_SMOTE_ENN_logreg,RobustScaler + sin PCA + RUS_SMOTE_ENN + logreg,RobustScaler,False,,RUS_SMOTE_ENN,RUS_SMOTE_ENN,logreg,LogisticRegression,10000,3,"{""C"": 1}",5,1613312,144336,403327,1.0,0.16306619690722415,0.8343964273983938,0.16306619690722415,0.26679107004974234,0.1460940219849539,0.24841429859854083,0.05764740723213422,0.061859938966249535,0.5359658126492942,9.780241320901779e-08,0.060061513035369885,0.7515857014014592,0.06398889243777234,0.8369338030927759,0.039446353912353516,53.06346344947815
CIC17,C__RobustScaler_no_pca_RUS_SMOTE_ENN_logreg,RobustScaler + sin PCA + RUS_SMOTE_ENN + logreg,RobustScaler,False,,RUS_SMOTE_ENN,RUS_SMOTE_ENN,logreg,LogisticRegression,10000,4,"{""C"": 10}",1,1613311,144610,403328,10.0,0.13646709377975247,0.9057673957800206,0.13646709377975247,0.22995794901969824,0.16142168247169736,0.27068783297910815,0.054950971677331525,0.07409557896951834,0.5364371007262813,8.752422365299371e-08,0.057794789105062486,0.7293121670208919,0.003388930355689831,0.8635329062202476,0.03530097007751465,53.55940294265747
CIC17,C__RobustScaler_no_pca_RUS_SMOTE_ENN_logreg,RobustScaler + sin PCA + RUS_SMOTE_ENN + logreg,RobustScaler,False,,RUS_SMOTE_ENN,RUS_SMOTE_ENN,logreg,LogisticRegression,10000,4,"{""C"": 10}",2,1613311,144303,403328,10.0,0.14382091002856237,0.8772420403945674,0.14382091002856234,0.24038278994075102,0.15326901569667886,0.28324209835436115,0.05455999455872918,0.06907700269544684,0.5382624168744887,7.454718494748206e-08,0.05853429985812519,0.716757901645639,0.021835407900440206,0.8561790899714377,0.030066967010498047,53.73353433609009
CIC17,C__RobustScaler_no_pca_RUS_SMOTE_ENN_logreg,RobustScaler + sin PCA + RUS_SMOTE_ENN + logreg,RobustScaler,False,,RUS_SMOTE_ENN,RUS_SMOTE_ENN,logreg,LogisticRegression,10000,4,"{""C"": 10}",3,1613311,144570,403328,10.0,0.1249231394795303,0.8915819012415467,0.1249231394795303,0.2113439859865177,0.14613204554291764,0.2186369132963584,0.05046249700388464,0.06745107156180197,0.5409594518945932,6.979806050161678e-08,0.05866064745044281,0.7813630867036417,0.004832851236172362,0.8750768605204697,0.028151512145996094,53.7790641784668
CIC17,C__RobustScaler_no_pca_RUS_SMOTE_ENN_logreg,RobustScaler + sin PCA + RUS_SMOTE_ENN + logreg,RobustScaler,False,,RUS_SMOTE_ENN,RUS_SMOTE_ENN,logreg,LogisticRegression,10000,4,"{""C"": 10}",4,1613311,144503,403328,10.0,0.14260601793081562,0.8751378737521837,0.14260601793081562,0.23849657270757885,0.15360393123380717,0.2596963547049002,0.05451204490261459,0.06814934802523548,0.5379158344304461,7.900015413477398e-08,0.058648255337101836,0.7403036452950998,0.02232984798734296,0.8573939820691844,0.03186297416687012,54.295488595962524
