dataset,experiment,descripcion_experimento,scaler,use_pca,n_components_pca,rebalanceo,rebalanceo_short,model,model_display_name,n,param_id,params,fold,train_original_rows_A,train_balanceado_rows_A,val_rows_B,param_alpha,param_hidden_layer_sizes,B_accuracy,B_precision_weighted,B_recall_weighted,B_f1_weighted,B_precision_macro,B_recall_macro,B_f1_macro,B_mcc,B_roc_auc,B_detection_latency_seconds,B_fpr_macro,B_fnr_macro,B_fpr_weighted,B_fnr_weighted,B_score_time,B_fit_time
CIC17,B__RobustScaler_pca_NM_SMOTE_ENN_mlp,RobustScaler + PCA + NearMiss_SMOTE_ENN + mlp,RobustScaler,True,3,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,mlp,MLPClassifier,10000,1,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [50]}",1,1613311,134597,403328,0.0001,"(50,)",0.6944372818152967,0.6843936448662018,0.6944372818152967,0.6886004452520474,0.06890554318878055,0.15691439586444872,0.07878598870175227,-0.015224030627430508,0.4750309896499241,2.967345642687895e-07,0.06922952274514807,0.8430856041355512,0.7328801229925181,0.30556271818470326,0.11968135833740234,3.326176166534424
CIC17,B__RobustScaler_pca_NM_SMOTE_ENN_mlp,RobustScaler + PCA + NearMiss_SMOTE_ENN + mlp,RobustScaler,True,3,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,mlp,MLPClassifier,10000,1,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [50]}",2,1613311,132206,403328,0.0001,"(50,)",0.7180061885115836,0.6838127099441096,0.7180061885115836,0.699845060472959,0.07240515635127555,0.1810919673630931,0.08364038231869245,-0.01997169037117124,0.47779991882323786,2.8119912245129073e-07,0.06960809785670133,0.8189080326369069,0.7621276563621034,0.2819938114884164,0.11341547966003418,3.2165732383728027
CIC17,B__RobustScaler_pca_NM_SMOTE_ENN_mlp,RobustScaler + PCA + NearMiss_SMOTE_ENN + mlp,RobustScaler,True,3,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,mlp,MLPClassifier,10000,1,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [50]}",3,1613311,134900,403328,0.0001,"(50,)",0.03942448825769597,0.0020543518446946396,0.03942448825769597,0.0038557773351639542,0.015067374189014377,0.17938981122627135,0.026596941023320397,0.031757217442282014,0.5063584272242296,2.9510955268033005e-07,0.06598191452487459,0.8206101887737287,0.02915320613081462,0.960575511742304,0.11902594566345215,8.425265550613403
CIC17,B__RobustScaler_pca_NM_SMOTE_ENN_mlp,RobustScaler + PCA + NearMiss_SMOTE_ENN + mlp,RobustScaler,True,3,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,mlp,MLPClassifier,10000,1,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [50]}",4,1613311,137594,403328,0.0001,"(50,)",0.005318252142177087,0.0002918868036056706,0.005318252142177087,0.0005498783987525796,0.007153901057228654,0.19142424440771083,0.0134181993028685,0.013872766660048776,0.5030048143792938,2.5612227937903565e-07,0.06635749134318866,0.8085757555922892,0.000680622290007087,0.9946817478578229,0.1033012866973877,5.911081790924072
CIC17,B__RobustScaler_pca_NM_SMOTE_ENN_mlp,RobustScaler + PCA + NearMiss_SMOTE_ENN + mlp,RobustScaler,True,3,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,mlp,MLPClassifier,10000,1,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [50]}",5,1613312,134534,403327,0.0001,"(50,)",0.0029380626637938944,0.8315945774407942,0.0029380626637938944,0.0007300981395566472,0.07810462071897888,0.15145606859154995,0.017682557377388216,0.008133674461167998,0.5012402455200208,2.73433557306597e-07,0.06652276178461117,0.8485439314084501,0.0007794894329613907,0.9970619373362061,0.11028313636779785,3.1656811237335205
CIC17,B__RobustScaler_pca_NM_SMOTE_ENN_mlp,RobustScaler + PCA + NearMiss_SMOTE_ENN + mlp,RobustScaler,True,3,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,mlp,MLPClassifier,10000,2,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100]}",1,1613311,134597,403328,0.0001,"(100,)",0.019849849254205014,0.8325296989479221,0.01984984925420501,0.0313399406686712,0.1098893249785759,0.20589070322403266,0.04811227912262692,0.020599018872010703,0.5110078301757863,3.5119934881804143e-07,0.0653700703126465,0.7941092967759673,0.00040090394390231745,0.980150150745795,0.141648530960083,6.438352108001709
CIC17,B__RobustScaler_pca_NM_SMOTE_ENN_mlp,RobustScaler + PCA + NearMiss_SMOTE_ENN + mlp,RobustScaler,True,3,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,mlp,MLPClassifier,10000,2,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100]}",2,1613311,132206,403328,0.0001,"(100,)",0.005008330688670263,0.8312990675998988,0.005008330688670263,0.0003581340258352431,0.07202907725748653,0.1908879610627612,0.009977164140568907,0.008590830534434832,0.4885773656936767,3.0823437345099807e-07,0.06647466699163553,0.8091120389372388,0.002128335563203141,0.9949916693113298,0.12431955337524414,5.074241399765015
CIC17,B__RobustScaler_pca_NM_SMOTE_ENN_mlp,RobustScaler + PCA + NearMiss_SMOTE_ENN + mlp,RobustScaler,True,3,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,mlp,MLPClassifier,10000,2,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100]}",3,1613311,134900,403328,0.0001,"(100,)",0.008660445096794669,0.832269739376809,0.008660445096794669,0.00876353310392289,0.10276704721181361,0.1682972189839348,0.04172692666911255,0.012640396860310545,0.5045454540897961,2.994224244698537e-07,0.06618747037584553,0.8317027810160653,0.001472500734477888,0.9913395549032054,0.12076544761657715,6.496041536331177
CIC17,B__RobustScaler_pca_NM_SMOTE_ENN_mlp,RobustScaler + PCA + NearMiss_SMOTE_ENN + mlp,RobustScaler,True,3,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,mlp,MLPClassifier,10000,2,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100]}",4,1613311,137594,403328,0.0001,"(100,)",0.04488902332592828,0.8345600905688305,0.04488902332592828,0.01759601276859825,0.12559603628265695,0.1675543155759954,0.05673754746771046,0.033129964695556305,0.5098781714729794,2.917076095404303e-07,0.0655557186573567,0.8324456844240046,0.02822480318627881,0.9551109766740717,0.11765384674072266,5.695410490036011
CIC17,B__RobustScaler_pca_NM_SMOTE_ENN_mlp,RobustScaler + PCA + NearMiss_SMOTE_ENN + mlp,RobustScaler,True,3,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,mlp,MLPClassifier,10000,2,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100]}",5,1613312,134534,403327,0.0001,"(100,)",0.011338194566691544,0.8316858071424287,0.011338194566691544,0.015409879215228461,0.08371241464890253,0.21679104278524164,0.027724870465468256,0.014758158716204369,0.5062350786126831,2.942951164758895e-07,0.06594343582897526,0.7832089572147584,0.0004897320013204668,0.9886618054333085,0.1186971664428711,3.399534225463867
