dataset,experiment,descripcion_experimento,scaler,use_pca,n_components_pca,rebalanceo,rebalanceo_short,model,model_display_name,n,param_id,params,param_alpha,param_hidden_layer_sizes,B_accuracy_mean,B_accuracy_std,B_accuracy_var,B_precision_weighted_mean,B_precision_weighted_std,B_precision_weighted_var,B_recall_weighted_mean,B_recall_weighted_std,B_recall_weighted_var,B_f1_weighted_mean,B_f1_weighted_std,B_f1_weighted_var,B_precision_macro_mean,B_precision_macro_std,B_precision_macro_var,B_recall_macro_mean,B_recall_macro_std,B_recall_macro_var,B_f1_macro_mean,B_f1_macro_std,B_f1_macro_var,B_fpr_weighted_mean,B_fpr_weighted_std,B_fpr_weighted_var,B_fnr_weighted_mean,B_fnr_weighted_std,B_fnr_weighted_var,B_fpr_macro_mean,B_fpr_macro_std,B_fpr_macro_var,B_fnr_macro_mean,B_fnr_macro_std,B_fnr_macro_var,B_mcc_mean,B_mcc_std,B_mcc_var,B_roc_auc_mean,B_roc_auc_std,B_roc_auc_var,B_detection_latency_seconds_mean,B_detection_latency_seconds_std,B_detection_latency_seconds_var,B_fit_time_mean,B_fit_time_std,B_fit_time_var,B_score_time_mean,B_score_time_std,B_score_time_var
CIC18,C__StandardScaler_no_pca_NM_SMOTE_mlp,StandardScaler + sin PCA + NearMiss_SMOTE + mlp,StandardScaler,False,,NearMiss_SMOTE,NM_SMOTE,mlp,MLPClassifier,10000,1,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [50]}",0.0001,"(50,)",0.2625690149896286,0.008240069716776686,6.789874893734021e-05,0.8498276554927809,0.010640552225970636,0.00011322135167360864,0.2625690149896286,0.008240069716776686,6.789874893734021e-05,0.28704172583653553,0.016438640748831133,0.0002702289096691314,0.35566518993076174,0.019814070226524087,0.00039259737894162836,0.741348451843096,0.009544515547293774,9.109777703253258e-05,0.3062428974018444,0.018567042873592073,0.0003447350810698061,0.012131048643638355,0.0011180865741773824,1.2501175873557151e-06,0.7374309850103714,0.008240069716776701,6.789874893734045e-05,0.04997080224360064,0.0005607592555329898,3.1445094266591294e-07,0.25865154815690394,0.009544515547293811,9.109777703253326e-05,0.2728798882087794,0.006222028743457633,3.8713641684412976e-05,0.730124531132397,0.01338232437135227,0.0001790866055800889,2.1685195458227182e-07,2.837363028064774e-09,8.050628953028903e-18,8.41488151550293,1.225975799297888,1.5030166604640953,0.12067112922668458,0.0015788174042487796,2.4926643959588544e-06
CIC18,C__StandardScaler_no_pca_NM_SMOTE_mlp,StandardScaler + sin PCA + NearMiss_SMOTE + mlp,StandardScaler,False,,NearMiss_SMOTE,NM_SMOTE,mlp,MLPClassifier,10000,2,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100]}",0.0001,"(100,)",0.3110968863424994,0.01624519300000199,0.0002639062956073136,0.8689241030494511,0.008662745205673733,7.504315449842324e-05,0.3110968863424994,0.01624519300000199,0.0002639062956073136,0.35716865332624026,0.021932022088489562,0.000481013592889994,0.3825336393448522,0.018659668107843114,0.00034818321389485735,0.7510924322992629,0.007715827896205131,5.953400012385729e-05,0.3391513328631794,0.018492665097206616,0.00034197866239744375,0.010598616674596795,0.0010897770732835226,1.1876140694544001e-06,0.6889031136575007,0.016245193000002024,0.0002639062956073148,0.04663344868880649,0.0010864905361924564,1.1804616852357712e-06,0.24890756770073713,0.007715827896205128,5.953400012385725e-05,0.3054958700662499,0.011769153499191352,0.00013851297408752806,0.7872979021422475,0.012258036752527464,0.00015025946502631403,2.893944367652656e-07,2.939836859993505e-09,8.642640763376471e-18,10.180487775802613,3.3570915304528786,11.27006354383845,0.1610386848449707,0.0016358361955573781,2.675960058695637e-06
CIC18,C__StandardScaler_no_pca_NM_SMOTE_mlp,StandardScaler + sin PCA + NearMiss_SMOTE + mlp,StandardScaler,False,,NearMiss_SMOTE,NM_SMOTE,mlp,MLPClassifier,10000,3,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100, 50]}",0.0001,"(100, 50)",0.27991736395100225,0.024532029373561453,0.0006018204651852819,0.8645104431259387,0.007056328225232737,4.979176802221619e-05,0.27991736395100225,0.024532029373561453,0.0006018204651852819,0.318723896591866,0.03659909251723588,0.0013394935730851913,0.385343806276412,0.010030249618089529,0.00010060590740118515,0.7505132619609662,0.018252750242595137,0.0003331628914185568,0.3419591657964574,0.015720406916353565,0.000247131193615737,0.008888760495341638,0.0008196505440945606,6.718270144345093e-07,0.7200826360489978,0.024532029373561418,0.0006018204651852803,0.04859809310295596,0.0016656140323138607,2.7742701046408387e-06,0.2494867380390337,0.01825275024259516,0.00033316289141855775,0.2913534835196364,0.018270945314303063,0.0003338274426782531,0.7102800218235874,0.024118783796559937,0.0005817157318252021,3.5400391227440794e-07,2.5558287678172023e-09,6.532260690401998e-18,11.468077802658081,2.3209941135902286,5.387013675320492,0.19699177742004395,0.0014220907062231433,2.0223419767262388e-06
CIC18,C__StandardScaler_no_pca_NM_SMOTE_mlp,StandardScaler + sin PCA + NearMiss_SMOTE + mlp,StandardScaler,False,,NearMiss_SMOTE,NM_SMOTE,mlp,MLPClassifier,10000,4,"{""alpha"": 0.001, ""hidden_layer_sizes"": [50]}",0.001,"(50,)",0.2893852974282707,0.0031794905135610592,1.010915992582477e-05,0.8546129007339005,0.006556520430334556,4.2987960153394434e-05,0.2893852974282707,0.0031794905135610592,1.010915992582477e-05,0.32463386271768296,0.006901989206772549,4.763745501040475e-05,0.36705743678169356,0.0220662047037438,0.000486917390027525,0.7493914622726594,0.007784692364159488,6.060143520460304e-05,0.32204656089083566,0.024321301926390412,0.000591525727394642,0.01207907519194642,0.0008503889576016628,7.231613792108427e-07,0.7106147025717294,0.0031794905135610146,1.0109159925824483e-05,0.048179585184245054,0.0002498732289786216,6.243663056020266e-08,0.25060853772734065,0.00778469236415949,6.060143520460307e-05,0.29331389786751605,0.007875475788815957,6.20231189002263e-05,0.7592591662606253,0.019554827140258732,0.00038239126448539956,2.1520507889467235e-07,2.94641430068236e-09,8.681357231265521e-18,7.6222827434539795,3.013077527482689,9.078636186621196,0.11975469589233398,0.0016395005287703477,2.68796198383825e-06
CIC18,C__StandardScaler_no_pca_NM_SMOTE_mlp,StandardScaler + sin PCA + NearMiss_SMOTE + mlp,StandardScaler,False,,NearMiss_SMOTE,NM_SMOTE,mlp,MLPClassifier,10000,5,"{""alpha"": 0.001, ""hidden_layer_sizes"": [100]}",0.001,"(100,)",0.31875195775480275,0.016044859928254773,0.0002574375301173158,0.8666312187226897,0.006827634276715927,4.661658981658622e-05,0.31875195775480275,0.016044859928254773,0.0002574375301173158,0.36506132455442547,0.019799524770588165,0.0003920211811411343,0.3728305905495426,0.017841761815245043,0.0003183284646719361,0.7566623392037981,0.013809646835143744,0.00019070634571139561,0.33521021713707483,0.0209467128219996,0.0004387647780473224,0.011083751010896597,0.000925261462483459,8.561087739570295e-07,0.6812480422451972,0.016044859928254766,0.00025743753011731556,0.04615545288373959,0.001093279870556148,1.1952608753632677e-06,0.24333766079620184,0.013809646835143657,0.00019070634571139323,0.31268832266986496,0.014031263276045338,0.00019687634912169855,0.7945156506869185,0.013420797552447121,0.00018011780694377063,2.8685278575539515e-07,1.960251702768357e-09,3.842586738206243e-18,8.209539079666138,1.5630606073982842,2.4431584624002936,0.15962433815002441,0.001090731945996208,1.1896961780166748e-06
CIC18,C__StandardScaler_no_pca_NM_SMOTE_mlp,StandardScaler + sin PCA + NearMiss_SMOTE + mlp,StandardScaler,False,,NearMiss_SMOTE,NM_SMOTE,mlp,MLPClassifier,10000,6,"{""alpha"": 0.001, ""hidden_layer_sizes"": [100, 50]}",0.001,"(100, 50)",0.283789647649716,0.008562538296417333,7.331706207761344e-05,0.8590690026379348,0.00927739251930305,8.607001195722022e-05,0.283789647649716,0.008562538296417333,7.331706207761344e-05,0.32232512993611406,0.012828116118402861,0.00016456056314722727,0.39146083031756906,0.010608478042060464,0.00011253980636887902,0.7518847958206939,0.01598191976360264,0.0002554217593302326,0.3491753887247746,0.005348948891149636,2.8611254240130916e-05,0.009587692751644315,0.0008670614164103685,7.517954998275543e-07,0.7162103523502841,0.008562538296417337,7.33170620776135e-05,0.04838653634012856,0.0006145442538669449,3.7766463996088e-07,0.24811520417930621,0.015981919763602668,0.00025542175933023354,0.2933772823811064,0.00950605174241756,9.03650197295199e-05,0.7162107002918686,0.013324173684954884,0.00017753360438684424,3.54309310573127e-07,1.4871180416177207e-09,2.2115200697049248e-18,11.850380086898804,1.9923088527961006,3.969294564929714,0.19716172218322753,0.0008274165460439052,6.846181406672258e-07
